event pre_time(s) post_time(s) val
switch 0 1866677 200,200,0,0
rssi -12793894060 -12790900721 341
rssi -12790888127 -12788416609 341
rssi -12788415466 -12785815799 341
rssi -12785802865 -12783243100 1
rssi -12783242459 -12780692112 1
rssi -12780690784 -12778071585 1
rssi -12778070376 -12775471453 1
rssi -12775459915 -12772974499 1
rssi -12772963242 -12770439883 1
rssi -12770437477 -12767877726 1
rssi -12767877193 -12765314514 1
rssi -12765314043 -12762751718 1
rssi -12762751263 -12760187871 1
rssi -12760187412 -12757628016 1
rssi -12757627542 -12755052457 1
rssi -12755051984 -12752490625 1
rssi -12752490153 -12749930251 1
rssi -12749928659 -12747247197 1
rssi -12747245741 -12744730659 1
rssi -12744729459 -12742222017 1
rssi -12742220451 -12739605983 1
rssi -12739604527 -12737044286 1
rssi -12737042839 -12734485792 1
rssi -12734484631 -12731921942 1
rssi -12731920541 -12729364926 1
rssi -12729363719 -12726799440 1
rssi -12726798229 -12724240413 1
rssi -12724238990 -12721681138 1
rssi -12721679930 -12719115322 1
rssi -12719113918 -12716555099 1
rssi -12716553816 -12713995103 1
rssi -12713993885 -12711432033 1
rssi -12711430177 -12708873521 1
rssi -12708866820 -12706309054 1
rssi -12706307850 -12703748554 1
rssi -12703747271 -12701191665 1
rssi -12701190438 -12698629012 1
rssi -12698627566 -12696064888 1
rssi -12696063606 -12693504755 1
rssi -12693503526 -12690981234 1
rssi -12690980763 -12688383187 1
rssi -12688381985 -12685786267 1
rssi -12685784988 -12683298329 1
rssi -12683297862 -12680655081 1
rssi -12680653848 -12678102545 1
rssi -12678101024 -12675613815 1
rssi -12675613314 -12673062239 1
rssi -12673061762 -12670418716 1
rssi -12670417551 -12667854531 1
rssi -12667853279 -12665295611 1
rssi -12665294449 -12662734624 1
rssi -12662733288 -12660173234 1
rssi -12660171846 -12657612402 1
rssi -12657611242 -12655050135 1
rssi -12655048976 -12652563758 1
rssi -12652563291 -12650004639 1
rssi -12650004160 -12647442978 1
rssi -12647442507 -12644886743 1
rssi -12644886264 -12642303449 1
rssi -12642302277 -12639753637 1
rssi -12639753031 -12637198805 1
rssi -12637198327 -12634634881 1
rssi -12634634352 -12632049469 1
rssi -12632048307 -12629511997 1
rssi -12629511344 -12626949862 1
rssi -12626939793 -12624389484 1
rssi -12624389006 -12621828481 1
rssi -12621828003 -12619266954 1
rssi -12619266472 -12616696391 1
rssi -12616695908 -12614144310 1
rssi -12614143831 -12611583579 1
rssi -12611583098 -12609024723 1
rssi -12609024250 -12606461445 1
rssi -12606460954 -12603906546 1
rssi -12603906075 -12601346751 1
rssi -12601346269 -12598784299 1
rssi -12598783823 -12596139861 1
rssi -12596138614 -12593569145 1
rssi -12593567969 -12591071637 1
rssi -12591070230 -12588534853 1
rssi -12588534209 -12585972941 1
rssi -12585972487 -12583408042 1
rssi -12583407570 -12580854792 1
rssi -12580854340 -12578222675 1
rssi -12578211024 -12575657100 1
rssi -12575645748 -12573165978 1
rssi -12573165524 -12570536661 1
rssi -12570525087 -12567976067 1
