event pre_time(s) post_time(s) val
switch 0 1964299 0,0,200,200
rssi -13142370530 -13138708762 10883
rssi -13138696355 -13136187758 11022
rssi -13136186642 -13133525258 11022
rssi -13133512391 -13130918432 11022
rssi -13130918018 -13128308767 10988
rssi -13128307775 -13125587669 10988
rssi -13125586526 -13122956524 10988
rssi -13122955367 -13120417152 10994
rssi -13120416738 -13117789258 10994
rssi -13117787421 -13115161013 10994
rssi -13115160489 -13112549584 10988
rssi -13112549326 -13109919650 10988
rssi -13109919438 -13107293966 10988
rssi -13107293729 -13104651285 11072
rssi -13104651019 -13102005411 11072
rssi -13102004986 -13099387462 11066
rssi -13099387107 -13096665540 11066
rssi -13096652302 -13094037822 11066
rssi -13094036897 -13091408787 10966
rssi -13091397567 -13088853972 10966
rssi -13088853538 -13086154979 10966
rssi -13086154053 -13083524862 11022
rssi -13083513155 -13080897185 11022
rssi -13080896205 -13078264371 11022
rssi -13078263442 -13075634356 11111
rssi -13075623351 -13073006576 11111
rssi -13073005396 -13070377974 11111
rssi -13070377033 -13067747887 11011
rssi -13067746940 -13065119372 11011
rssi -13065108148 -13062489693 11011
rssi -13062488768 -13059858264 10966
rssi -13059846475 -13057202936 10966
rssi -13057191295 -13054575831 10966
rssi -13054569054 -13051945492 11016
rssi -13051944232 -13049320151 11016
rssi -13049318952 -13046688250 11016
rssi -13046686939 -13044146176 10933
rssi -13044145108 -13041534218 10933
rssi -13041533235 -13038898626 10933
rssi -13038898197 -13036235553 11027
rssi -13036234779 -13033624389 11027
rssi -13033623563 -13031003387 11027
rssi -13031002950 -13028395001 10994
rssi -13028394552 -13025744615 10994
rssi -13025744180 -13023116059 10994
rssi -13023115627 -13020487495 11033
rssi -13020487066 -13017855852 11033
rssi -13017855418 -13015233805 10966
rssi -13015233386 -13012607790 10966
rssi -13012607364 -13009970665 10966
rssi -13009970238 -13007343219 10889
rssi -13007342781 -13004715443 10889
rssi -13004715014 -13002093170 10889
rssi -13002092744 -12999465810 11055
rssi -12999465381 -12996831686 11055
rssi -12996831255 -12994201224 11055
rssi -12994200686 -12991544923 11005
rssi -12991544505 -12988920766 11005
rssi -12988920334 -12986292315 11005
rssi -12986291888 -12983597418 11022
rssi -12983586108 -12980969333 11022
rssi -12980957846 -12978337704 11022
rssi -12978326489 -12975710128 11005
rssi -12975698788 -12973084073 11005
rssi -12973072701 -12970456707 11005
rssi -12970434525 -12967889507 10966
rssi -12967889075 -12965201360 10966
rssi -12965190166 -12962570908 10966
rssi -12962559706 -12959944331 10922
rssi -12959933034 -12957375057 10922
rssi -12957374633 -12954752653 10922
rssi -12954752224 -12952119649 10872
rssi -12952119216 -12949500383 10872
rssi -12949499952 -12946868871 10872
rssi -12946868451 -12944244499 10938
rssi -12944244066 -12941549842 10938
rssi -12941538646 -12938920634 10938
rssi -12938909340 -12936364343 10883
rssi -12936363913 -12933715661 10883
rssi -12933714613 -12931043291 10955
rssi -12931032213 -12928456368 10955
rssi -12928445193 -12925786995 10955
rssi -12925775841 -12923157840 10933
rssi -12923146550 -12920596329 10933
rssi -12920595898 -12917904864 10933
rssi -12917893590 -12915270851 11016
rssi -12915259524 -12912647259 11016
rssi -12912636150 -12910015579 11016
rssi -12910004500 -12907386833 10927
rssi -12907385801 -12904759878 10927
rssi -12904748594 -12902131400 10927
rssi -12902120279 -12899502512 10839
rssi -12899501445 -12896932063 10839
rssi -12896931638 -12894244056 10839
rssi -12894232887 -12891675766 10944
rssi -12891675340 -12889051549 10944
rssi -12889051132 -12886423709 10944
rssi -12886423295 -12883767811 11111
rssi -12883756089 -12881164653 11111
rssi -12881164240 -12878542704 11111
rssi -12878542288 -12875901660 11083
rssi -12875901236 -12873259210 11083
rssi -12873258509 -12870617482 11083
rssi -12870616513 -12868012076 10961
rssi -12868011644 -12865389732 10961
rssi -12865389306 -12862759087 10961
rssi -12862758671 -12860133176 11027
rssi -12860132757 -12857510406 11027
rssi -12857509979 -12854871734 11027
rssi -12854871304 -12852240134 11061
rssi -12852239703 -12849613683 11061
rssi -12849613256 -12846983658 10911
rssi -12846983242 -12844358518 10911
rssi -12844358081 -12841733622 10911
rssi -12841733202 -12839039523 11022
