0 mrad/s	1 mrad/s	2.5 mrad/s	4 mrad/s	5 mrad/s	6 mrad/s	7 mrad/s
9.41	9.41	9.39	9.41	9.39	9.41	0.0
9.42	9.41	9.42	9.42	9.42	9.41	6.02
9.41	9.39	9.41	9.41	9.41	9.41	9.42
9.41	9.41	9.42	9.41	9.42	9.41	9.41
9.4	9.41	9.41	9.42	9.42	9.41	9.4
9.41	9.41	9.41	9.41	9.41	9.41	9.4
9.42	9.41	9.42	9.42	9.41	9.42	9.41
9.42	9.42	9.42	9.41	9.42	9.41	9.41
9.41	9.42	9.42	9.41	9.41	9.42	9.4
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.42	9.42	9.41	9.41	9.41
9.41	9.42	9.41	9.41	9.41	9.35	9.41
9.4	9.41	9.41	9.41	9.41	9.43	9.41
9.42	9.41	9.39	9.42	9.42	9.42	9.41
9.42	9.41	9.41	9.4	9.42	9.42	9.41
9.41	9.42	9.41	9.41	9.41	9.42	9.41
9.41	9.42	9.41	9.41	9.41	9.41	4.83
9.41	9.41	9.41	9.41	9.41	9.41	8.23
9.41	9.41	9.41	9.41	9.42	9.42	9.42
9.42	9.41	9.42	9.4	9.42	9.41	9.41
9.42	9.41	9.41	9.42	9.41	9.41	9.41
9.41	9.41	9.41	9.42	9.4	9.42	9.41
9.41	9.41	9.41	9.39	9.4	9.42	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.42	9.41	9.41	9.41	9.42
9.42	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.42	9.41	9.41
9.41	9.41	9.41	9.4	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.42	9.41
9.42	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.42	9.42	9.41	9.42	9.41	9.41
9.42	9.41	9.41	9.42	9.41	9.41	0.671
9.41	9.41	9.41	9.41	9.42	9.41	0.0
9.42	9.41	9.41	9.41	9.41	9.42	0.0
9.42	9.41	9.42	9.41	9.41	9.42	0.0
9.41	9.41	9.41	9.42	9.41	9.41	0.0
9.41	9.42	9.41	9.42	9.41	9.41	0.0
9.42	9.42	9.42	9.41	9.42	9.42	5.49
9.41	9.41	9.41	9.41	9.41	9.41	9.39
9.42	9.41	9.42	9.41	9.42	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.42	9.4
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.35	9.38	9.4	9.39	9.37	9.4	9.35
9.41	9.41	9.4	9.41	9.41	9.41	9.37
9.42	9.41	9.41	9.36	9.28	9.39	9.14
9.41	9.41	9.41	9.41	9.4	9.4	9.26
9.41	9.4	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.4	9.41	9.27
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.4
9.41	9.41	9.41	9.4	9.41	9.41	9.33
9.41	9.41	9.4	9.41	9.41	9.4	9.36
9.41	9.41	9.41	9.41	9.41	9.42	9.3
9.41	9.41	9.42	9.42	9.42	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.4
9.41	9.41	9.41	9.41	9.42	9.41	9.41
9.41	9.41	9.42	9.4	9.41	9.41	9.41
9.42	9.41	9.41	9.41	9.41	9.41	9.38
9.4	9.41	9.42	9.41	9.42	9.41	9.41
9.4	9.41	9.41	9.41	9.41	9.42	9.41
9.41	9.42	9.42	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.4	9.41	9.42	9.42	9.42	9.42
9.42	9.42	9.42	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.41	9.41	9.41	9.42	9.41
9.41	9.42	9.41	9.41	9.4	9.42	9.41
9.42	9.41	9.41	9.42	9.41	9.41	9.41
9.41	9.41	9.42	9.41	9.42	9.38	9.41
9.41	9.41	9.41	9.41	9.41	9.42	9.41
9.42	9.42	9.42	9.41	9.41	9.42	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.42	9.41	9.41	9.42
9.41	9.41	9.41	9.42	9.41	9.41	9.41
9.41	9.41	9.42	9.42	9.41	9.41	9.41
9.42	9.41	9.41	9.41	9.42	9.41	9.42
9.41	9.42	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.42	9.41
9.41	9.41	9.41	9.42	9.41	9.41	9.41
9.41	9.42	9.41	9.42	9.41	9.42	9.41
9.42	9.41	9.42	9.41	9.42	9.41	9.41
9.41	9.42	9.4	9.41	9.41	9.42	9.41
9.4	9.41	9.41	9.38	9.42	9.42	9.42
9.41	9.42	9.42	9.42	9.42	9.41	9.42
9.42	9.41	9.41	9.41	9.41	9.41	3.9
9.41	9.42	9.41	9.42	9.41	9.39	0.0
9.41	9.42	9.41	9.41	9.41	9.41	7.48
9.4	9.4	9.41	9.41	9.41	9.42	9.4
9.41	9.42	9.42	9.41	9.41	9.4	9.4
9.41	9.41	9.41	9.41	9.41	9.41	9.42
