0 mrad/s	1 mrad/s	2.5 mrad/s	4 mrad/s	5 mrad/s	6 mrad/s	7 mrad/s
9.41	9.41	9.41	9.41	9.41	9.4	9.41
9.42	9.42	9.42	9.41	9.41	9.42	9.41
9.42	9.42	9.41	9.41	9.42	9.41	9.41
9.42	9.41	9.42	9.41	9.42	9.41	9.41
9.41	9.41	9.39	9.42	9.41	9.41	9.42
9.42	9.41	9.41	9.42	9.41	9.39	9.41
9.42	9.41	9.41	9.41	9.41	9.41	9.41
9.42	9.42	9.42	9.42	9.42	9.41	9.41
9.41	9.4	9.41	9.41	9.41	9.42	9.4
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.39	9.41	9.41	9.42
9.41	9.42	9.42	9.41	9.4	9.42	9.41
9.4	9.41	9.42	9.41	9.41	9.42	9.41
9.41	9.42	9.41	9.42	9.42	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.42
9.41	9.41	9.42	9.38	9.42	9.41	9.41
9.41	9.38	9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.42	9.41	9.42	9.41	9.41
9.4	9.42	9.41	9.41	9.39	9.42	9.42
9.42	9.42	9.42	9.4	9.38	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.37	9.41	9.42	9.42	9.41	9.42	9.41
9.41	9.41	9.41	9.41	9.4	9.42	9.4
9.41	9.41	9.42	9.41	9.42	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.42	9.4	9.42	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.42	9.34	9.41
9.42	9.42	9.42	9.41	9.38	9.43	9.41
9.39	9.4	9.38	9.4	9.39	9.4	9.42
9.41	9.41	9.41	9.41	9.41	9.41	9.38
9.41	9.41	9.41	9.4	9.27	9.31	9.41
9.37	9.41	9.4	9.4	9.4	9.4	9.39
9.41	9.41	9.4	9.41	9.41	9.41	9.41
9.4	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.39	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.4
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.4	9.41	9.41	9.4	9.41	9.41	9.41
9.4	9.41	9.41	9.41	9.41	9.37	9.4
9.39	9.42	9.41	9.41	9.41	9.4	9.39
9.42	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.34	9.41	9.41	9.41
9.41	9.39	9.42	9.41	9.4	9.41	9.42
9.42	9.42	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.42	9.41	9.41
9.42	9.41	9.42	9.41	9.41	9.42	9.41
9.41	9.42	9.41	9.41	9.41	9.42	9.42
9.41	9.41	9.41	9.42	9.4	9.41	9.41
9.41	9.41	9.41	9.41	9.42	9.42	9.41
9.41	9.42	9.41	9.41	9.41	9.41	9.42
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.41	9.36	9.42	9.41	5.0
9.41	9.41	9.42	9.41	9.41	9.42	0.378
9.42	9.41	9.38	9.41	9.41	9.41	9.41
9.37	9.41	9.41	9.42	9.42	9.41	9.42
9.41	9.42	9.42	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.42	9.41
9.41	9.42	9.39	9.41	9.41	9.42	9.41
9.41	9.41	9.41	9.41	9.42	9.41	9.41
9.41	9.36	9.41	9.41	9.41	9.41	9.41
9.42	9.42	9.41	9.41	9.41	9.41	9.42
9.41	9.41	9.4	9.41	9.41	9.42	9.41
9.42	9.41	9.4	9.42	9.42	9.42	9.41
9.41	9.42	9.41	9.41	9.41	9.41	9.41
9.42	9.41	9.4	9.42	9.41	9.41	9.42
9.42	9.42	9.41	9.41	9.41	9.42	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.42	9.42	9.4	9.41	9.41	9.41
9.37	9.42	9.4	9.41	9.42	9.41	9.42
9.43	9.42	9.41	9.4	9.41	9.41	9.41
9.4	9.41	9.41	9.39	9.41	9.41	9.41
9.4	9.42	9.38	9.42	9.41	9.41	9.42
9.39	9.42	9.42	9.41	9.41	9.41	9.41
9.35	9.42	9.41	9.42	9.42	9.41	4.5
9.41	9.41	9.41	9.41	9.42	9.42	0.818
9.42	9.41	9.4	9.4	9.41	9.41	7.17
9.41	9.38	9.41	9.41	9.41	9.41	0.0
9.41	9.41	9.42	9.41	9.41	9.41	0.0
9.41	9.41	9.41	9.42	9.42	9.41	1.82
9.4	9.41	9.42	9.42	9.41	9.41	9.41
9.38	9.32	9.38	9.39	9.37	9.38	9.41
9.4	9.41	9.41	9.41	9.42	9.41	9.39
9.41	9.41	9.41	9.38	9.27	9.28	9.41
9.41	9.41	9.4	9.41	9.41	9.41	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.41	9.41	9.38	9.4	9.41	9.4	9.41
9.39	9.4	9.39	9.4	9.41	9.39	9.41
9.41	9.41	9.41	9.41	9.41	9.38	8.46
9.41	9.41	9.41	9.41	9.41	9.4	0.0
9.41	9.41	9.41	9.41	9.41	9.41	6.34
9.41	9.41	9.41	9.41	9.41	9.41	9.4
9.42	9.42	9.41	9.41	9.41	9.39	9.41
9.42	9.41	9.42	9.41	9.41	9.42	9.41
9.42	9.42	9.41	9.41	9.42	9.4	9.42
9.41	9.41	9.41	9.41	9.42	9.41	9.41
9.41	9.41	9.42	9.41	9.41	9.41	9.41
9.42	9.39	9.4	9.41	9.41	9.41	9.4
9.42	9.41	9.38	9.41	9.41	9.41	9.39
9.41	9.42	9.41	9.41	9.42	9.4	9.42
9.42	9.42	9.41	9.42	9.39	9.42	9.41
9.41	9.41	9.41	9.41	9.41	9.42	9.41
9.42	9.42	9.42	9.4	9.42	9.41	9.41
9.41	9.41	9.42	9.41	9.39	9.41	9.42
9.42	9.42	9.42	9.41	9.41	9.42	9.41
9.42	9.38	9.41	9.42	9.41	9.41	9.41
9.41	9.41	9.41	9.36	9.41	9.42	9.38
9.41	9.41	9.41	9.42	9.42	9.41	9.42
9.42	9.42	9.42	9.41	9.41	9.42	9.41
9.41	9.41	9.41	9.41	9.41	9.41	9.41
9.42	9.42	9.41	9.41	9.41	9.42	9.41
9.41	9.41	9.41	9.41	9.42	9.41	9.41
