PARAMS map_range=100 map_step=5
H_Delta V_Delta RSSI
-100 -100 1
-100 -95 1
-100 -90 1
-100 -85 1
-100 -80 1
-100 -75 1
-100 -70 1
-100 -65 1
-100 -60 1
-100 -55 1
-100 -50 1
-100 -45 1
-100 -40 1
-100 -35 1
-100 -30 1
-100 -25 1
-100 -20 1
-100 -15 1
-100 -10 1
-100 -5 1
-100 0 1
-100 5 1
-100 10 1
-100 15 1
-100 20 1
-100 25 1
-100 30 1
-100 35 1
-100 40 1
-100 45 1
-100 50 1
-100 55 1
-100 60 1
-100 65 1
-100 70 1
-100 75 1
-100 80 1
-100 85 1
-100 90 1
-100 95 1
-100 100 1
-95 -100 1
-95 -95 1
-95 -90 1
-95 -85 1
-95 -80 1
-95 -75 1
-95 -70 1
-95 -65 1
-95 -60 1
-95 -55 1
-95 -50 1
-95 -45 1
-95 -40 1
-95 -35 1
-95 -30 1
-95 -25 1
-95 -20 1
-95 -15 1
-95 -10 1
-95 -5 1
-95 0 1
-95 5 1
-95 10 1
-95 15 1
-95 20 1
-95 25 1
-95 30 1
-95 35 1
-95 40 1
-95 45 1
-95 50 1
-95 55 1
-95 60 1
-95 65 1
-95 70 1
-95 75 1
-95 80 1
-95 85 1
-95 90 1
-95 95 1
-95 100 1
-90 -100 1
-90 -95 1
-90 -90 1
-90 -85 1
-90 -80 1
-90 -75 1
-90 -70 1
-90 -65 1
-90 -60 1
-90 -55 1
-90 -50 1
-90 -45 1
-90 -40 1
-90 -35 1
-90 -30 1
-90 -25 1
-90 -20 1
-90 -15 1
-90 -10 1
-90 -5 1
-90 0 1
-90 5 1
-90 10 1
-90 15 1
-90 20 1
-90 25 1
-90 30 1
-90 35 1
-90 40 1
-90 45 1
-90 50 1
-90 55 1
-90 60 1
-90 65 1
-90 70 1
-90 75 1
-90 80 1
-90 85 1
-90 90 1
-90 95 1
-90 100 1
-85 -100 1
-85 -95 1
-85 -90 1
-85 -85 1
-85 -80 1
-85 -75 1
-85 -70 1
-85 -65 1
-85 -60 1
-85 -55 1
-85 -50 1
-85 -45 1
-85 -40 1
-85 -35 1
-85 -30 1
-85 -25 1
-85 -20 1
-85 -15 1
-85 -10 1
-85 -5 1
-85 0 1
-85 5 1
-85 10 1
-85 15 1
-85 20 1
-85 25 1
-85 30 1
-85 35 1
-85 40 1
-85 45 1
-85 50 1
-85 55 1
-85 60 1
-85 65 1
-85 70 1
-85 75 1
-85 80 1
-85 85 1
-85 90 1
-85 95 1
-85 100 1
-80 -100 1
-80 -95 1
-80 -90 1
-80 -85 1
-80 -80 1
-80 -75 1
-80 -70 1
-80 -65 1
-80 -60 1
-80 -55 1
-80 -50 1
-80 -45 1
-80 -40 1
-80 -35 1
-80 -30 1
-80 -25 1
-80 -20 1
-80 -15 1
-80 -10 1
-80 -5 1
-80 0 1
-80 5 1
-80 10 1
-80 15 1
-80 20 1
-80 25 1
-80 30 1
-80 35 1
-80 40 1
-80 45 1
-80 50 1
-80 55 1
-80 60 1
-80 65 1
-80 70 1
-80 75 1
-80 80 1
-80 85 1
-80 90 1
-80 95 1
-80 100 1
-75 -100 1
-75 -95 1
-75 -90 1
-75 -85 1
-75 -80 1
-75 -75 1
-75 -70 1
-75 -65 1
-75 -60 1
-75 -55 1
-75 -50 1
-75 -45 1
-75 -40 1
-75 -35 1
-75 -30 1
-75 -25 1
-75 -20 1
-75 -15 1
-75 -10 1
-75 -5 1
-75 0 1
-75 5 1
-75 10 1
-75 15 1
-75 20 1
-75 25 1
-75 30 1
-75 35 1
-75 40 1
-75 45 1
-75 50 1
-75 55 1
-75 60 1
-75 65 1
-75 70 1
-75 75 1
-75 80 1
-75 85 1
-75 90 1
-75 95 1
