PARAMS map_range=100 map_step=5
H_Delta V_Delta RSSI
-100 -100 3317
-100 -95 3317
-100 -90 3317
-100 -85 3317
-100 -80 3317
-100 -75 3317
-100 -70 3083
-100 -65 3083
-100 -60 3083
-100 -55 3083
-100 -50 3083
-100 -45 3083
-100 -40 3083
-100 -35 3193
-100 -30 3193
-100 -25 3193
-100 -20 3193
-100 -15 3193
-100 -10 3193
-100 -5 3193
-100 0 3193
-100 5 2948
-100 10 2948
-100 15 2948
-100 20 2948
-100 25 2948
-100 30 2948
-100 35 2948
-100 40 2767
-100 45 2767
-100 50 2767
-100 55 2767
-100 60 2767
-100 65 2767
-100 70 2767
-100 75 2767
-100 80 2897
-100 85 2897
-100 90 2897
-100 95 2897
-100 100 2897
-95 -100 2897
-95 -95 2897
-95 -90 2387
-95 -85 2387
-95 -80 2387
-95 -75 2387
-95 -70 2387
-95 -65 2387
-95 -60 2387
-95 -55 2254
-95 -50 2254
-95 -45 2254
-95 -40 2254
-95 -35 2254
-95 -30 2254
-95 -25 2254
-95 -20 2254
-95 -15 1843
-95 -10 1843
-95 -5 1843
-95 0 1843
-95 5 1843
-95 10 1843
-95 15 1843
-95 20 1268
-95 25 1268
-95 30 1268
-95 35 1268
-95 40 1268
-95 45 1268
-95 50 1268
-95 55 1178
-95 60 1178
-95 65 1178
-95 70 1178
-95 75 1178
-95 80 1178
-95 85 1178
-95 90 1178
-95 95 741
-95 100 741
-90 -100 741
-90 -95 741
-90 -90 741
-90 -85 741
-90 -80 741
-90 -75 428
-90 -70 428
-90 -65 428
-90 -60 428
-90 -55 428
-90 -50 428
-90 -45 428
-90 -40 428
-90 -35 444
-90 -30 444
-90 -25 444
-90 -20 444
-90 -15 444
-90 -10 444
-90 -5 444
-90 0 192
-90 5 192
-90 10 192
-90 15 192
-90 20 192
-90 25 192
-90 30 192
-90 35 100
-90 40 100
-90 45 100
-90 50 100
-90 55 100
-90 60 100
-90 65 100
-90 70 100
-90 75 85
-90 80 85
-90 85 85
-90 90 85
-90 95 85
-90 100 85
-85 -100 85
-85 -95 30
-85 -90 30
-85 -85 30
-85 -80 30
-85 -75 30
-85 -70 30
-85 -65 30
-85 -60 29
-85 -55 29
-85 -50 29
-85 -45 29
-85 -40 29
-85 -35 29
-85 -30 29
-85 -25 29
-85 -20 13
-85 -15 13
-85 -10 13
-85 -5 13
-85 0 13
-85 5 13
-85 10 13
-85 15 10
-85 20 10
-85 25 10
-85 30 10
-85 35 10
-85 40 10
-85 45 10
-85 50 10
-85 55 10
-85 60 10
-85 65 10
-85 70 10
-85 75 10
-85 80 10
-85 85 10
-85 90 1
-85 95 1
-85 100 1
-80 -100 1
-80 -95 1
-80 -90 1
-80 -85 1
-80 -80 1
-80 -75 1
-80 -70 1
-80 -65 1
-80 -60 1
-80 -55 1
-80 -50 1
-80 -45 1
-80 -40 1
-80 -35 1
-80 -30 1
-80 -25 1
-80 -20 1
-80 -15 1
-80 -10 1
-80 -5 1
-80 0 1
-80 5 1
-80 10 1
-80 15 1
-80 20 1
-80 25 1
-80 30 1
-80 35 1
-80 40 1
-80 45 1
-80 50 1
-80 55 1
-80 60 1
-80 65 1
-80 70 1
-80 75 1
-80 80 1
-80 85 1
-80 90 1
-80 95 1
-80 100 1
-75 -100 1
-75 -95 1
-75 -90 1
-75 -85 1
-75 -80 1
-75 -75 1
-75 -70 1
-75 -65 1
-75 -60 1
-75 -55 1
-75 -50 1
-75 -45 1
-75 -40 1
-75 -35 1
-75 -30 1
-75 -25 1
-75 -20 1
-75 -15 1
-75 -10 1
-75 -5 1
-75 0 1
-75 5 1
-75 10 1
-75 15 1
-75 20 1
-75 25 1
-75 30 1
-75 35 1
-75 40 1
-75 45 1
-75 50 1
-75 55 1
-75 60 1
-75 65 1
-75 70 1
-75 75 1
-75 80 1
-75 85 1
-75 90 1
-75 95 1
-75 100 1
-70 -100 1
-70 -95 1
-70 -90 1
-70 -85 1
-70 -80 1
-70 -75 1
-70 -70 1
-70 -65 1
-70 -60 1
-70 -55 1
-70 -50 1
-70 -45 1
-70 -40 1
-70 -35 1
-70 -30 1
-70 -25 1
-70 -20 1
-70 -15 1
-70 -10 1
-70 -5 1
-70 0 1
-70 5 1
-70 10 1
-70 15 1
-70 20 1
-70 25 1
-70 30 1
-70 35 1
-70 40 1
-70 45 1
-70 50 1
-70 55 1
-70 60 1
-70 65 1
-70 70 1
-70 75 1
-70 80 1
-70 85 1
-70 90 1
-70 95 1
-70 100 1
-65 -100 1
-65 -95 1
-65 -90 1
-65 -85 1
-65 -80 1
-65 -75 1
-65 -70 1
-65 -65 1
-65 -60 1
-65 -55 1
-65 -50 1
-65 -45 1
-65 -40 1
-65 -35 1
-65 -30 1
-65 -25 1
-65 -20 1
-65 -15 1
-65 -10 1
-65 -5 1
-65 0 1
-65 5 1
-65 10 1
-65 15 1
-65 20 1
-65 25 1
-65 30 1
-65 35 1
-65 40 1
-65 45 1
-65 50 1
-65 55 1
-65 60 1
-65 65 1
-65 70 1
-65 75 1
-65 80 1
-65 85 1
-65 90 1
-65 95 1
-65 100 1
-60 -100 1
-60 -95 1
-60 -90 1
-60 -85 1
-60 -80 1
-60 -75 1
-60 -70 1
-60 -65 1
-60 -60 1
-60 -55 1
-60 -50 1
-60 -45 1
-60 -40 1
-60 -35 1
-60 -30 1
-60 -25 1
-60 -20 4974
-60 -15 4709
-60 -10 4624
-60 -5 4238
-60 0 3790
-60 5 3300
-60 10 2500
-60 15 1602
-60 20 1010
-60 25 555
-60 30 228
-60 35 74
-60 40 26
-60 45 12
-60 50 10
-60 55 1
-60 60 1
-60 65 1
-60 70 1
-60 75 1
-60 80 1
-60 85 1
-60 90 1
-60 95 1
-60 100 1
-55 -100 1
-55 -95 1
-55 -90 1
-55 -85 1
-55 -80 1
-55 -75 1
-55 -70 1
-55 -65 1
-55 -60 1
-55 -55 1
-55 -50 1
-55 -45 1
-55 -40 1
-55 -35 1
-55 -30 1
-55 -25 1
-55 -20 6731
-55 -15 6727
-55 -10 6461
-55 -5 5813
-55 0 5376
-55 5 4681
-55 10 3777
-55 15 2678
-55 20 1676
-55 25 972
-55 30 443
-55 35 160
-55 40 63
-55 45 19
-55 50 12
-55 55 1
-55 60 1
-55 65 1
-55 70 1
-55 75 1
-55 80 1
-55 85 1
-55 90 1
-55 95 1
-55 100 1
-50 -100 1
-50 -95 1
-50 -90 1
-50 -85 1
-50 -80 1
-50 -75 1
-50 -70 1
-50 -65 1
-50 -60 1
-50 -55 1
-50 -50 1
-50 -45 1
-50 -40 1
-50 -35 1
-50 -30 1
-50 -25 1
-50 -20 8962
-50 -15 8934
-50 -10 8680
-50 -5 7714
-50 0 7429
-50 5 6461
-50 10 5223
-50 15 3930
-50 20 2885
-50 25 1552
-50 30 747
-50 35 302
-50 40 99
-50 45 32
-50 50 13
-50 55 1
-50 60 1
-50 65 1
-50 70 1
-50 75 1
-50 80 1
-50 85 1
-50 90 1
-50 95 1
-50 100 1
-45 -100 1
-45 -95 1
-45 -90 1
-45 -85 1
-45 -80 1
-45 -75 1
-45 -70 1
-45 -65 1
-45 -60 1
-45 -55 1
-45 -50 1
-45 -45 1
-45 -40 1
-45 -35 1
-45 -30 1
-45 -25 1
-45 -20 11133
-45 -15 10714
-45 -10 10266
-45 -5 9402
-45 0 8566
-45 5 7482
-45 10 6424
-45 15 5226
-45 20 3812
-45 25 2555
-45 30 1352
-45 35 538
-45 40 198
-45 45 61
-45 50 21
-45 55 10
-45 60 1
-45 65 1
-45 70 1
-45 75 1
-45 80 1
-45 85 1
-45 90 1
-45 95 1
-45 100 1
-40 -100 1
-40 -95 1
-40 -90 1
-40 -85 1
-40 -80 1
-40 -75 1
-40 -70 1
-40 -65 1
-40 -60 1
-40 -55 1
-40 -50 1
-40 -45 1
-40 -40 1
-40 -35 1
-40 -30 1
-40 -25 1
-40 -20 11830
-40 -15 11648
-40 -10 11382
-40 -5 10741
-40 0 9885
-40 5 8657
-40 10 7528
-40 15 6196
-40 20 4918
-40 25 3502
-40 30 2120
-40 35 958
-40 40 383
-40 45 116
-40 50 34
-40 55 12
-40 60 1
-40 65 1
-40 70 1
-40 75 1
-40 80 1
-40 85 1
-40 90 1
-40 95 1
-40 100 1
-35 -100 1
-35 -95 1
-35 -90 1
-35 -85 1
-35 -80 1
-35 -75 1
-35 -70 1
-35 -65 1
-35 -60 1
-35 -55 1
-35 -50 1
-35 -45 1
-35 -40 1
-35 -35 1
-35 -30 1
-35 -25 1
-35 -20 12440
-35 -15 12440
-35 -10 12440
-35 -5 12050
-35 0 11105
-35 5 9971
-35 10 8767
-35 15 7425
-35 20 6046
-35 25 4454
-35 30 2620
-35 35 1329
-35 40 527
-35 45 192
-35 50 48
-35 55 18
-35 60 10
-35 65 1
-35 70 1
-35 75 1
-35 80 1
-35 85 1
-35 90 1
-35 95 1
-35 100 1
-30 -100 1
-30 -95 1
-30 -90 1
-30 -85 1
-30 -80 1
-30 -75 1
-30 -70 1
-30 -65 1
-30 -60 1
-30 -55 1
-30 -50 1
-30 -45 1
-30 -40 1
-30 -35 1
-30 -30 1
-30 -25 1
-30 -20 12440
-30 -15 12440
-30 -10 12440
-30 -5 12440
-30 0 12129
-30 5 11072
-30 10 9794
-30 15 8414
-30 20 6822
-30 25 5232
-30 30 3369
-30 35 1712
-30 40 724
-30 45 267
-30 50 81
-30 55 22
-30 60 11
-30 65 1
-30 70 1
-30 75 1
-30 80 1
-30 85 1
-30 90 1
-30 95 1
-30 100 1
-25 -100 1
-25 -95 1
-25 -90 1
-25 -85 1
-25 -80 1
-25 -75 1
-25 -70 1
-25 -65 1
-25 -60 1
-25 -55 1
-25 -50 1
-25 -45 1
-25 -40 1
-25 -35 1
-25 -30 1
-25 -25 1
-25 -20 12440
-25 -15 12440
-25 -10 12440
-25 -5 12440
-25 0 12440
-25 5 11830
-25 10 10752
-25 15 9276
-25 20 7718
-25 25 5809
-25 30 3798
-25 35 2230
-25 40 953
-25 45 358
-25 50 130
-25 55 26
-25 60 12
-25 65 10
-25 70 1
-25 75 1
-25 80 1
-25 85 1
-25 90 1
-25 95 1
-25 100 1
-20 -100 1
-20 -95 1
-20 -90 1
-20 -85 1
-20 -80 1
-20 -75 1
-20 -70 1
-20 -65 1
-20 -60 1
-20 -55 1
-20 -50 1
-20 -45 1
-20 -40 1
-20 -35 1
-20 -30 1
-20 -25 1
-20 -20 12440
-20 -15 12440
-20 -10 12440
-20 -5 12440
-20 0 12440
-20 5 12379
-20 10 11596
-20 15 10266
-20 20 8526
-20 25 6250
-20 30 4328
-20 35 2511
-20 40 1322
-20 45 528
-20 50 160
-20 55 39
-20 60 15
-20 65 10
-20 70 1
-20 75 1
-20 80 1
-20 85 1
-20 90 1
-20 95 1
-20 100 1
-15 -100 1
-15 -95 1
-15 -90 1
-15 -85 1
-15 -80 1
-15 -75 1
-15 -70 1
-15 -65 1
-15 -60 1
-15 -55 1
-15 -50 1
-15 -45 1
-15 -40 1
-15 -35 1
-15 -30 1
-15 -25 1
-15 -20 12440
-15 -15 12440
-15 -10 12440
-15 -5 12440
-15 0 12440
-15 5 12440
-15 10 11919
-15 15 10785
-15 20 8818
-15 25 6595
-15 30 4296
-15 35 2443
-15 40 1260
-15 45 476
-15 50 137
-15 55 32
-15 60 13
-15 65 11
-15 70 1
-15 75 1
-15 80 1
-15 85 1
-15 90 1
-15 95 1
-15 100 1
-10 -100 1
-10 -95 1
-10 -90 1
-10 -85 1
-10 -80 1
-10 -75 1
-10 -70 1
-10 -65 1
-10 -60 1
-10 -55 1
-10 -50 1
-10 -45 1
-10 -40 1
-10 -35 1
-10 -30 1
-10 -25 1
-10 -20 12440
-10 -15 12440
-10 -10 12440
-10 -5 12440
-10 0 12440
-10 5 12440
-10 10 12153
-10 15 10977
-10 20 9005
-10 25 6883
-10 30 4531
-10 35 2539
-10 40 1293
-10 45 507
-10 50 152
-10 55 38
-10 60 14
-10 65 10
-10 70 1
-10 75 1
-10 80 1
-10 85 1
-10 90 1
-10 95 1
-10 100 1
-5 -100 1
-5 -95 1
-5 -90 1
-5 -85 1
-5 -80 1
-5 -75 1
-5 -70 1
-5 -65 1
-5 -60 1
-5 -55 1
-5 -50 1
-5 -45 1
-5 -40 1
-5 -35 1
-5 -30 1
-5 -25 1
-5 -20 12440
-5 -15 12440
-5 -10 12440
-5 -5 12440
-5 0 12440
-5 5 12434
-5 10 11913
-5 15 10654
-5 20 8804
-5 25 6517
-5 30 4504
-5 35 2620
-5 40 1331
-5 45 541
-5 50 166
-5 55 42
-5 60 17
-5 65 11
-5 70 1
-5 75 1
-5 80 1
-5 85 1
-5 90 1
-5 95 1
-5 100 1
0 -100 1
0 -95 1
0 -90 1
0 -85 1
0 -80 1
0 -75 1
0 -70 1
0 -65 1
0 -60 1
0 -55 1
0 -50 1
0 -45 1
0 -40 1
0 -35 1
0 -30 1
0 -25 1
0 -20 12440
0 -15 12440
0 -10 12440
0 -5 12440
0 0 12440
0 5 12189
0 10 11601
0 15 10292
0 20 8422
0 25 6421
0 30 4460
0 35 2648
0 40 1205
0 45 531
0 50 153
0 55 36
0 60 15
0 65 11
0 70 1
0 75 1
0 80 1
0 85 1
0 90 1
0 95 1
0 100 1
5 -100 1
5 -95 1
5 -90 1
5 -85 1
5 -80 1
5 -75 1
5 -70 1
5 -65 1
5 -60 1
5 -55 1
5 -50 1
5 -45 1
5 -40 1
5 -35 1
5 -30 1
5 -25 1
5 -20 12440
5 -15 12440
5 -10 12440
5 -5 12440
5 0 12220
5 5 11613
5 10 10785
5 15 9466
5 20 7827
5 25 5903
5 30 4000
5 35 2239
5 40 1096
5 45 413
5 50 118
5 55 29
5 60 15
5 65 11
5 70 1
5 75 1
5 80 1
5 85 1
5 90 1
5 95 1
5 100 1
10 -100 1
10 -95 1
10 -90 1
10 -85 1
10 -80 1
10 -75 1
10 -70 1
10 -65 1
10 -60 1
10 -55 1
10 -50 1
10 -45 1
10 -40 1
10 -35 1
10 -30 1
10 -25 1
10 -20 12440
10 -15 12440
10 -10 12440
10 -5 12440
10 0 11748
10 5 11005
10 10 9935
10 15 8589
10 20 7097
10 25 5265
10 30 3615
10 35 1967
10 40 950
10 45 340
10 50 103
10 55 25
10 60 14
10 65 11
10 70 1
10 75 1
10 80 1
10 85 1
10 90 1
10 95 1
10 100 1
15 -100 1
15 -95 1
15 -90 1
15 -85 1
15 -80 1
15 -75 1
15 -70 1
15 -65 1
15 -60 1
15 -55 1
15 -50 1
15 -45 1
15 -40 1
15 -35 1
15 -30 1
15 -25 1
15 -20 12440
15 -15 12440
15 -10 12440
15 -5 12281
15 0 11360
15 5 10172
15 10 8809
15 15 7438
15 20 6025
15 25 4498
15 30 2858
15 35 1509
15 40 630
15 45 205
15 50 49
15 55 18
15 60 12
15 65 10
15 70 1
15 75 1
15 80 1
15 85 1
15 90 1
15 95 1
15 100 1
20 -100 1
20 -95 1
20 -90 1
20 -85 1
20 -80 1
20 -75 1
20 -70 1
20 -65 1
20 -60 1
20 -55 1
20 -50 1
20 -45 1
20 -40 1
20 -35 1
20 -30 1
20 -25 1
20 -20 12440
20 -15 11806
20 -10 11642
20 -5 11022
20 0 10340
20 5 9076
20 10 7681
20 15 6253
20 20 4804
20 25 3515
20 30 2261
20 35 1212
20 40 521
20 45 169
20 50 47
20 55 16
20 60 12
20 65 1
20 70 1
20 75 1
20 80 1
20 85 1
20 90 1
20 95 1
20 100 1
25 -100 1
25 -95 1
25 -90 1
25 -85 1
25 -80 1
25 -75 1
25 -70 1
25 -65 1
25 -60 1
25 -55 1
25 -50 1
25 -45 1
25 -40 1
25 -35 1
25 -30 1
25 -25 1
25 -20 10584
25 -15 10801
25 -10 10681
25 -5 10172
25 0 9325
25 5 8123
25 10 6810
25 15 5561
25 20 4081
25 25 2849
25 30 1746
25 35 813
25 40 324
25 45 100
25 50 37
25 55 14
25 60 11
25 65 1
25 70 1
25 75 1
25 80 1
25 85 1
25 90 1
25 95 1
25 100 1
30 -100 1
30 -95 1
30 -90 1
30 -85 1
30 -80 1
30 -75 1
30 -70 1
30 -65 1
30 -60 1
30 -55 1
30 -50 1
30 -45 1
30 -40 1
30 -35 1
30 -30 1
30 -25 1
30 -20 9344
30 -15 9334
30 -10 9281
30 -5 8662
30 0 7798
30 5 6738
30 10 5412
30 15 4121
30 20 2818
30 25 1982
30 30 1159
30 35 479
30 40 158
30 45 55
30 50 19
30 55 12
30 60 1
30 65 1
30 70 1
30 75 1
30 80 1
30 85 1
30 90 1
30 95 1
30 100 1
35 -100 1
35 -95 1
35 -90 1
35 -85 1
35 -80 1
35 -75 1
35 -70 1
35 -65 1
35 -60 1
35 -55 1
35 -50 1
35 -45 1
35 -40 1
35 -35 1
35 -30 1
35 -25 1
35 -20 8276
35 -15 7593
35 -10 7701
35 -5 7133
35 0 6424
35 5 5485
35 10 4296
35 15 3105
35 20 2239
35 25 1317
35 30 710
35 35 323
35 40 103
35 45 39
35 50 15
35 55 10
35 60 1
35 65 1
35 70 1
35 75 1
35 80 1
35 85 1
35 90 1
35 95 1
35 100 1
40 -100 1
40 -95 1
40 -90 1
40 -85 1
40 -80 1
40 -75 1
40 -70 1
40 -65 1
40 -60 1
40 -55 1
40 -50 1
40 -45 1
40 -40 1
40 -35 1
40 -30 1
40 -25 1
40 -20 5816
40 -15 5679
40 -10 5662
40 -5 5432
40 0 4962
40 5 4112
40 10 3058
40 15 2060
40 20 1324
40 25 746
40 30 396
40 35 149
40 40 65
40 45 21
40 50 11
40 55 1
40 60 1
40 65 1
40 70 1
40 75 1
40 80 1
40 85 1
40 90 1
40 95 1
40 100 1
45 -100 1
45 -95 1
45 -90 1
45 -85 1
45 -80 1
45 -75 1
45 -70 1
45 -65 1
45 -60 1
45 -55 1
45 -50 1
45 -45 1
45 -40 1
45 -35 1
45 -30 1
45 -25 1
45 -20 3997
45 -15 3908
45 -10 3916
45 -5 3447
45 0 3046
45 5 2342
45 10 1649
45 15 1000
45 20 639
45 25 327
45 30 135
45 35 54
45 40 21
45 45 10
45 50 1
45 55 1
45 60 1
45 65 1
45 70 1
45 75 1
45 80 1
45 85 1
45 90 1
45 95 1
45 100 1
50 -100 1
