PARAMS map_range=10 map_step=1
H_Delta V_Delta RSSI
-10 -10 12440
-10 -9 12440
-10 -8 12440
-10 -7 12440
-10 -6 12440
-10 -5 12440
-10 -4 12440
-10 -3 12440
-10 -2 12440
-10 -1 12440
-10 0 12440
-10 1 12440
-10 2 12440
-10 3 12440
-10 4 12440
-10 5 12440
-10 6 12440
-10 7 12440
-10 8 12440
-10 9 12440
-10 10 12440
-9 -10 12440
-9 -9 12440
-9 -8 12440
-9 -7 12440
-9 -6 12440
-9 -5 12440
-9 -4 12440
-9 -3 12440
-9 -2 12440
-9 -1 12440
-9 0 12440
-9 1 12440
-9 2 12440
-9 3 12440
-9 4 12440
-9 5 12440
-9 6 12440
-9 7 12440
-9 8 12440
-9 9 12440
-9 10 12440
-8 -10 12440
-8 -9 12440
-8 -8 12440
-8 -7 12440
-8 -6 12440
-8 -5 12440
-8 -4 12440
-8 -3 12440
-8 -2 12440
-8 -1 12440
-8 0 12440
-8 1 12440
-8 2 12440
-8 3 12440
-8 4 12440
-8 5 12440
-8 6 12440
-8 7 12440
-8 8 12440
-8 9 12440
-8 10 12440
-7 -10 12440
-7 -9 12440
-7 -8 12440
-7 -7 12440
-7 -6 12440
-7 -5 12440
-7 -4 12440
-7 -3 12440
-7 -2 12440
-7 -1 12440
-7 0 12440
-7 1 12440
-7 2 12440
-7 3 12440
-7 4 12440
-7 5 12440
-7 6 12440
-7 7 12440
-7 8 12440
-7 9 12440
-7 10 12440
-6 -10 12440
-6 -9 12440
-6 -8 12440
-6 -7 12440
-6 -6 12440
-6 -5 12440
-6 -4 12440
-6 -3 12440
-6 -2 12440
-6 -1 12440
-6 0 12440
-6 1 12440
-6 2 12440
-6 3 12440
-6 4 12440
-6 5 12440
-6 6 12440
-6 7 12440
-6 8 12440
-6 9 12440
-6 10 12440
-5 -10 12440
-5 -9 12440
-5 -8 12440
-5 -7 12440
-5 -6 12440
-5 -5 12440
-5 -4 12440
-5 -3 12440
-5 -2 12440
-5 -1 12440
-5 0 12440
-5 1 12440
-5 2 12440
-5 3 12440
-5 4 12440
-5 5 12440
-5 6 12440
-5 7 12440
-5 8 12440
-5 9 12440
-5 10 12440
-4 -10 12440
-4 -9 12440
-4 -8 12440
-4 -7 12440
-4 -6 12440
-4 -5 12440
-4 -4 12440
-4 -3 12440
-4 -2 12440
-4 -1 12440
-4 0 12440
-4 1 12440
-4 2 12440
-4 3 12440
-4 4 12440
-4 5 12440
-4 6 12440
-4 7 12440
-4 8 12440
-4 9 12440
-4 10 12440
-3 -10 12440
-3 -9 12440
-3 -8 12440
-3 -7 12440
-3 -6 12440
-3 -5 12440
-3 -4 12440
-3 -3 12440
-3 -2 12440
-3 -1 12440
-3 0 12440
-3 1 12440
-3 2 12440
-3 3 12440
-3 4 12440
-3 5 12440
-3 6 12440
-3 7 12440
-3 8 12440
-3 9 12440
-3 10 12440
-2 -10 12440
-2 -9 12440
-2 -8 12440
-2 -7 12440
-2 -6 12440
-2 -5 12440
-2 -4 12440
-2 -3 12440
-2 -2 12440
-2 -1 12440
-2 0 12440
-2 1 12440
-2 2 12440
-2 3 12440
-2 4 12440
-2 5 12440
-2 6 12440
-2 7 12440
-2 8 12440
-2 9 12440
-2 10 12440
-1 -10 12440
-1 -9 12440
-1 -8 12440
-1 -7 12440
-1 -6 12440
-1 -5 12440
-1 -4 12440
-1 -3 12440
