Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 39306 connected to 10.0.0.2 port 5201
[  4]  66.00-67.00  sec  1.10 GBytes  9.42 Gbits/sec    0    703 KBytes       
[  4]  67.00-68.00  sec  1.10 GBytes  9.41 Gbits/sec    0    703 KBytes       
[  4]  68.00-69.00  sec   256 MBytes  2.15 Gbits/sec    2   1.41 KBytes       
[  4]  69.00-70.00  sec   380 MBytes  3.19 Gbits/sec  410    713 KBytes       
[  4]  70.00-71.00  sec  1.09 GBytes  9.40 Gbits/sec    0    713 KBytes       
[  4]  71.00-72.00  sec  1.09 GBytes  9.41 Gbits/sec    0    713 KBytes       
[  4]  72.00-73.00  sec  1.10 GBytes  9.42 Gbits/sec    0    713 KBytes       
[  4]  73.00-74.00  sec  1.09 GBytes  9.41 Gbits/sec   14    634 KBytes       
[  4]  74.00-75.00  sec  1.10 GBytes  9.41 Gbits/sec    0    670 KBytes       
[  4]  75.00-76.00  sec   528 MBytes  4.43 Gbits/sec    1   1.41 KBytes       
[  4]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  4]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  78.00-79.00  sec   514 MBytes  4.31 Gbits/sec  338    798 KBytes       
[  4]  79.00-80.00  sec  1.09 GBytes  9.40 Gbits/sec    0    798 KBytes       
[  4]  80.00-81.00  sec   386 MBytes  3.24 Gbits/sec    2   1.41 KBytes       
[  4]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec    1    564 KBytes       
[  4]  82.00-83.00  sec   971 MBytes  8.15 Gbits/sec  414    564 KBytes       
[  4]  83.00-84.00  sec  1.09 GBytes  9.41 Gbits/sec    0    602 KBytes       
[  4]  84.00-85.00  sec  1.10 GBytes  9.41 Gbits/sec    0    675 KBytes       
[  4]  85.00-86.00  sec  1.09 GBytes  9.41 Gbits/sec    0    675 KBytes       
[  4]  86.00-87.00  sec  1.10 GBytes  9.42 Gbits/sec    0    675 KBytes       
[  4]  87.00-88.00  sec  1.10 GBytes  9.41 Gbits/sec   18    573 KBytes       
[  4]  88.00-89.00  sec  1.09 GBytes  9.41 Gbits/sec    0    597 KBytes       
[  4]  89.00-90.00  sec  1.09 GBytes  9.40 Gbits/sec    0    655 KBytes       
[  4]  90.00-91.00  sec  1.09 GBytes  9.40 Gbits/sec    0    686 KBytes       
[  4]  91.00-92.00  sec  1.09 GBytes  9.37 Gbits/sec    0    700 KBytes       
[  4]  92.00-93.00  sec  1.09 GBytes  9.37 Gbits/sec    0    723 KBytes       
[  4]  93.00-94.00  sec   818 MBytes  6.86 Gbits/sec    1   1.41 KBytes       
[  4]  94.00-95.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  95.00-96.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  96.00-97.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  97.00-98.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  98.00-99.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4]  99.00-100.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4] 100.00-101.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 101.00-102.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4] 102.00-103.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4] 103.00-104.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4] 104.00-105.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4] 105.00-106.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  4] 106.00-107.00 sec   376 MBytes  3.16 Gbits/sec  462    554 KBytes       
[  4] 107.00-108.00 sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  4] 108.00-109.00 sec   709 MBytes  5.95 Gbits/sec  331    628 KBytes       
[  4] 109.00-110.00 sec  1.09 GBytes  9.40 Gbits/sec    0    642 KBytes       
[  4] 110.00-111.00 sec  1.09 GBytes  9.40 Gbits/sec    0    653 KBytes       
[  4] 111.00-112.00 sec  1.09 GBytes  9.40 Gbits/sec    0    673 KBytes       
[  4] 112.00-113.00 sec  1.09 GBytes  9.39 Gbits/sec    0    724 KBytes       
[  4] 113.00-114.00 sec  1.09 GBytes  9.36 Gbits/sec    0    732 KBytes       
[  4] 114.00-115.00 sec   252 MBytes  2.12 Gbits/sec  438    362 KBytes       
[  4] 115.00-116.00 sec  1.09 GBytes  9.40 Gbits/sec    0    609 KBytes       
[  4] 116.00-117.00 sec   744 MBytes  6.24 Gbits/sec    1   1.41 KBytes       
[  4] 117.00-118.00 sec   804 MBytes  6.74 Gbits/sec  309    741 KBytes       
[  4] 118.00-119.00 sec  1.10 GBytes  9.41 Gbits/sec    0    741 KBytes       
[  4] 119.00-120.00 sec   102 MBytes   859 Mbits/sec    2   1.41 KBytes       
[  4] 120.00-121.00 sec   461 MBytes  3.87 Gbits/sec  446    826 KBytes       
[  4] 121.00-122.00 sec   535 MBytes  4.49 Gbits/sec    1   1.41 KBytes       
[  4] 122.00-123.00 sec  0.00 Bytes  0.00 bits/sec    2    581 KBytes       
[  4] 123.00-124.00 sec   799 MBytes  6.71 Gbits/sec  498    587 KBytes       
[  4] 124.00-125.00 sec  1.09 GBytes  9.40 Gbits/sec    0    604 KBytes       
[  4] 125.00-126.00 sec  1.09 GBytes  9.40 Gbits/sec    0    617 KBytes       
[  4] 126.00-127.00 sec   364 MBytes  3.05 Gbits/sec    2   1.41 KBytes       
[  4] 127.00-128.00 sec   272 MBytes  2.29 Gbits/sec  347    486 KBytes       
[  4] 128.00-129.00 sec   845 MBytes  7.09 Gbits/sec    1   1.41 KBytes       
[  4] 129.00-130.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 130.00-131.00 sec   879 MBytes  7.38 Gbits/sec  411    523 KBytes       
[  4] 131.00-132.00 sec  1.09 GBytes  9.40 Gbits/sec    0    655 KBytes       
[  4] 132.00-133.00 sec  1.09 GBytes  9.41 Gbits/sec    0    655 KBytes       
[  4] 133.00-134.00 sec   711 MBytes  5.96 Gbits/sec    1   1.41 KBytes       
[  4] 134.00-135.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 135.00-136.00 sec  1.02 GBytes  8.80 Gbits/sec  342    635 KBytes       
[  4] 136.00-137.00 sec  1.09 GBytes  9.40 Gbits/sec    8    588 KBytes       
[  4] 137.00-138.00 sec   495 MBytes  4.15 Gbits/sec    1   1.41 KBytes       
[  4] 138.00-139.00 sec   146 MBytes  1.23 Gbits/sec  319    553 KBytes       
[  4] 139.00-140.00 sec  1.09 GBytes  9.38 Gbits/sec    0    658 KBytes       
[  4] 140.00-141.00 sec   950 MBytes  7.97 Gbits/sec    0    658 KBytes       
[  4] 141.00-142.00 sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  4] 142.00-143.00 sec   805 MBytes  6.76 Gbits/sec  444    665 KBytes       
[  4] 143.00-144.00 sec   311 MBytes  2.61 Gbits/sec    2   1.41 KBytes       
[  4] 144.00-145.00 sec  0.00 Bytes  0.00 bits/sec    1    467 KBytes       
