PARAMS map_range=60 map_step=1
H_Delta V_Delta RSSI
-60 -60 12
-60 -59 10
-60 -58 11
-60 -57 12
-60 -56 14
-60 -55 16
-60 -54 17
-60 -53 20
-60 -52 22
-60 -51 26
-60 -50 32
-60 -49 34
-60 -48 44
-60 -47 46
-60 -46 61
-60 -45 71
-60 -44 73
-60 -43 95
-60 -42 119
-60 -41 131
-60 -40 141
-60 -39 167
-60 -38 182
-60 -37 199
-60 -36 212
-60 -35 229
-60 -34 266
-60 -33 304
-60 -32 310
-60 -31 336
-60 -30 340
-60 -29 421
-60 -28 445
-60 -27 493
-60 -26 565
-60 -25 636
-60 -24 686
-60 -23 774
-60 -22 821
-60 -21 927
-60 -20 978
-60 -19 1027
-60 -18 1046
-60 -17 1063
-60 -16 1196
-60 -15 1120
-60 -14 1194
-60 -13 1278
-60 -12 1269
-60 -11 1359
-60 -10 1370
-60 -9 1404
-60 -8 1389
-60 -7 1519
-60 -6 1411
-60 -5 1348
-60 -4 1466
-60 -3 1390
-60 -2 1424
-60 -1 1405
-60 0 1428
-60 1 1407
-60 2 1376
-60 3 1284
-60 4 1255
-60 5 1189
-60 6 1168
-60 7 1175
-60 8 1136
-60 9 1060
-60 10 993
-60 11 945
-60 12 1004
-60 13 925
-60 14 920
-60 15 932
-60 16 823
-60 17 783
-60 18 798
-60 19 750
-60 20 730
-60 21 683
-60 22 644
-60 23 629
-60 24 573
-60 25 519
-60 26 491
-60 27 452
-60 28 390
-60 29 349
-60 30 292
-60 31 253
-60 32 242
-60 33 217
-60 34 191
-60 35 179
-60 36 154
-60 37 134
-60 38 125
-60 39 116
-60 40 89
-60 41 75
-60 42 72
-60 43 61
-60 44 52
-60 45 47
-60 46 45
-60 47 38
-60 48 37
-60 49 33
-60 50 29
-60 51 26
-60 52 24
-60 53 22
-60 54 19
-60 55 17
-60 56 16
-60 57 15
-60 58 16
-60 59 14
-60 60 11
-59 -60 63
-59 -59 10
-59 -58 11
-59 -57 12
-59 -56 16
-59 -55 18
-59 -54 21
-59 -53 22
-59 -52 24
-59 -51 22
-59 -50 28
-59 -49 27
-59 -48 34
-59 -47 38
-59 -46 46
-59 -45 56
-59 -44 60
-59 -43 68
-59 -42 67
-59 -41 80
-59 -40 87
-59 -39 102
-59 -38 110
-59 -37 130
-59 -36 168
-59 -35 157
-59 -34 192
-59 -33 220
-59 -32 255
-59 -31 287
-59 -30 328
-59 -29 375
-59 -28 428
-59 -27 481
-59 -26 554
-59 -25 665
-59 -24 729
-59 -23 700
-59 -22 802
-59 -21 839
-59 -20 887
-59 -19 980
-59 -18 1046
-59 -17 1098
-59 -16 1105
-59 -15 1240
-59 -14 1255
-59 -13 1398
-59 -12 1385
-59 -11 1420
-59 -10 1486
-59 -9 1422
-59 -8 1477
-59 -7 1575
-59 -6 1643
-59 -5 1557
-59 -4 1680
-59 -3 1676
-59 -2 1790
-59 -1 1758
-59 0 1696
-59 1 1637
-59 2 1661
-59 3 1631
-59 4 1592
-59 5 1588
-59 6 1486
-59 7 1481
-59 8 1458
-59 9 1439
-59 10 1422
-59 11 1317
-59 12 1335
-59 13 1180
-59 14 1298
-59 15 1207
-59 16 1094
-59 17 1058
-59 18 1072
-59 19 995
-59 20 957
-59 21 901
-59 22 892
-59 23 772
-59 24 738
-59 25 672
-59 26 589
-59 27 583
-59 28 531
-59 29 510
-59 30 451
-59 31 447
-59 32 395
-59 33 366
-59 34 351
-59 35 322
-59 36 285
-59 37 271
-59 38 230
-59 39 207
-59 40 195
-59 41 171
-59 42 149
-59 43 139
-59 44 126
-59 45 107
-59 46 86
-59 47 79
-59 48 64
-59 49 54
-59 50 43
-59 51 41
-59 52 34
-59 53 25
-59 54 23
-59 55 21
-59 56 19
-59 57 17
-59 58 14
-59 59 12
-59 60 11
-58 -60 20
-58 -59 10
-58 -58 13
-58 -57 15
-58 -56 14
-58 -55 15
-58 -54 20
-58 -53 23
-58 -52 26
-58 -51 30
-58 -50 38
-58 -49 47
-58 -48 52
-58 -47 57
-58 -46 66
-58 -45 76
-58 -44 96
-58 -43 116
-58 -42 120
-58 -41 130
-58 -40 178
-58 -39 194
-58 -38 223
-58 -37 267
-58 -36 309
-58 -35 328
-58 -34 362
-58 -33 396
-58 -32 470
-58 -31 452
-58 -30 493
-58 -29 547
-58 -28 663
-58 -27 704
-58 -26 788
-58 -25 862
-58 -24 886
-58 -23 1051
-58 -22 1092
-58 -21 1194
-58 -20 1260
-58 -19 1262
-58 -18 1394
-58 -17 1430
-58 -16 1631
-58 -15 1728
-58 -14 1690
-58 -13 1821
-58 -12 1930
-58 -11 2075
-58 -10 2083
-58 -9 2193
-58 -8 2263
-58 -7 2191
-58 -6 2272
-58 -5 2387
-58 -4 2316
-58 -3 2236
-58 -2 2269
-58 -1 2287
-58 0 2272
-58 1 2243
-58 2 2234
-58 3 2331
-58 4 2307
-58 5 2079
-58 6 2167
-58 7 2241
-58 8 2085
-58 9 2039
-58 10 1953
-58 11 1884
-58 12 1799
-58 13 1825
-58 14 1732
-58 15 1788
-58 16 1750
-58 17 1590
-58 18 1523
-58 19 1528
-58 20 1456
-58 21 1322
-58 22 1198
-58 23 1146
-58 24 1185
-58 25 1051
-58 26 938
-58 27 947
-58 28 802
-58 29 721
-58 30 706
-58 31 687
-58 32 603
-58 33 493
-58 34 507
-58 35 474
-58 36 414
-58 37 358
-58 38 323
-58 39 306
-58 40 265
-58 41 223
-58 42 187
-58 43 158
-58 44 147
-58 45 119
-58 46 99
-58 47 83
-58 48 76
-58 49 61
-58 50 57
-58 51 46
-58 52 40
