PARAMS map_range=250 map_step=10
H_Delta V_Delta RSSI
-250 -250 1
-250 -240 1
-250 -230 1
-250 -220 1
-250 -210 1
-250 -200 1
-250 -190 1
-250 -180 1
-250 -170 1
-250 -160 1
-250 -150 1
-250 -140 1
-250 -130 1
-250 -120 1
-250 -110 1
-250 -100 1
-250 -90 1
-250 -80 1
-250 -70 1
-250 -60 1
-250 -50 1
-250 -40 1
-250 -30 1
-250 -20 1
-250 -10 1
-250 0 1
-250 10 1
-250 20 1
-250 30 1
-250 40 1
-250 50 1
-250 60 1
-250 70 1
-250 80 1
-250 90 1
-250 100 1
-250 110 1
-250 120 1
-250 130 1
-250 140 1
-250 150 1
-250 160 1
-250 170 1
-250 180 1
-250 190 1
-250 200 1
-250 210 1
-250 220 1
-250 230 1
-250 240 1
-250 250 1
-240 -250 1
-240 -240 1
-240 -230 1
-240 -220 1
-240 -210 1
-240 -200 1
-240 -190 1
-240 -180 1
-240 -170 1
-240 -160 1
-240 -150 1
-240 -140 1
-240 -130 1
-240 -120 1
-240 -110 1
-240 -100 1
-240 -90 1
-240 -80 1
-240 -70 1
-240 -60 1
-240 -50 1
-240 -40 1
-240 -30 1
-240 -20 1
-240 -10 1
-240 0 1
-240 10 1
-240 20 1
-240 30 1
-240 40 1
-240 50 1
-240 60 1
-240 70 1
-240 80 1
-240 90 1
-240 100 1
-240 110 1
-240 120 1
-240 130 1
-240 140 1
-240 150 1
-240 160 1
-240 170 1
-240 180 1
-240 190 1
-240 200 1
-240 210 1
-240 220 1
-240 230 1
-240 240 1
-240 250 1
-230 -250 1
-230 -240 1
-230 -230 1
-230 -220 1
-230 -210 1
-230 -200 1
-230 -190 1
-230 -180 1
-230 -170 1
-230 -160 1
-230 -150 1
-230 -140 1
-230 -130 1
-230 -120 1
-230 -110 1
-230 -100 1
-230 -90 1
-230 -80 1
-230 -70 1
-230 -60 1
-230 -50 1
-230 -40 1
-230 -30 1
-230 -20 1
-230 -10 1
-230 0 1
-230 10 1
-230 20 1
-230 30 1
-230 40 1
-230 50 1
-230 60 1
-230 70 1
-230 80 1
-230 90 1
-230 100 1
-230 110 1
-230 120 1
-230 130 1
-230 140 1
-230 150 1
-230 160 1
-230 170 1
-230 180 1
-230 190 1
-230 200 1
-230 210 1
-230 220 1
-230 230 1
-230 240 1
-230 250 1
-220 -250 1
-220 -240 1
-220 -230 1
-220 -220 1
-220 -210 1
-220 -200 1
-220 -190 1
-220 -180 1
-220 -170 1
-220 -160 1
-220 -150 1
-220 -140 1
-220 -130 1
-220 -120 1
-220 -110 1
-220 -100 1
-220 -90 1
-220 -80 1
-220 -70 1
-220 -60 1
-220 -50 1
-220 -40 1
-220 -30 1
-220 -20 1
-220 -10 1
-220 0 1
-220 10 1
-220 20 1
-220 30 1
-220 40 1
-220 50 1
-220 60 1
-220 70 1
-220 80 1
-220 90 1
-220 100 1
-220 110 1
-220 120 1
-220 130 1
-220 140 1
-220 150 1
-220 160 1
-220 170 1
-220 180 1
-220 190 1
-220 200 1
-220 210 1
-220 220 1
-220 230 1
-220 240 1
-220 250 1
-210 -250 1
-210 -240 1
-210 -230 1
-210 -220 1
-210 -210 1
-210 -200 1
-210 -190 1
-210 -180 1
-210 -170 1
-210 -160 1
-210 -150 1
-210 -140 1
-210 -130 1
-210 -120 1
-210 -110 1
-210 -100 1
-210 -90 1
-210 -80 1
-210 -70 1
-210 -60 1
-210 -50 1
-210 -40 1
-210 -30 1
-210 -20 1
-210 -10 1
-210 0 1
-210 10 1
-210 20 1
-210 30 1
-210 40 1
-210 50 1
-210 60 1
-210 70 1
-210 80 1
-210 90 1
-210 100 1
-210 110 1
-210 120 1
-210 130 1
-210 140 1
-210 150 1
-210 160 1
-210 170 1
-210 180 1
-210 190 1
-210 200 1
-210 210 1
-210 220 1
-210 230 1
-210 240 1
-210 250 1
-200 -250 1
-200 -240 1
-200 -230 1
-200 -220 1
-200 -210 1
-200 -200 1
-200 -190 1
-200 -180 1
-200 -170 1
-200 -160 1
-200 -150 1
-200 -140 1
-200 -130 1
-200 -120 1
-200 -110 1
-200 -100 1
-200 -90 1
-200 -80 1
-200 -70 1
-200 -60 1
-200 -50 1
-200 -40 1
-200 -30 1
-200 -20 1
-200 -10 1
-200 0 1
-200 10 1
-200 20 1
-200 30 1
-200 40 1
-200 50 1
-200 60 1
-200 70 1
-200 80 1
-200 90 1
-200 100 1
-200 110 1
-200 120 1
-200 130 1
-200 140 1
-200 150 1
-200 160 1
-200 170 1
-200 180 1
-200 190 1
-200 200 1
-200 210 1
-200 220 1
-200 230 1
-200 240 1
-200 250 1
-190 -250 1
-190 -240 1
-190 -230 1
-190 -220 1
-190 -210 1
-190 -200 1
-190 -190 1
-190 -180 1
-190 -170 1
-190 -160 1
-190 -150 1
-190 -140 1
-190 -130 1
-190 -120 1
-190 -110 1
-190 -100 1
-190 -90 1
-190 -80 1
-190 -70 1
-190 -60 1
-190 -50 1
-190 -40 1
-190 -30 1
-190 -20 1
-190 -10 1
-190 0 1
-190 10 1
-190 20 1
-190 30 1
-190 40 1
-190 50 1
-190 60 1
-190 70 1
-190 80 1
-190 90 1
-190 100 1
-190 110 1
-190 120 1
-190 130 1
-190 140 1
-190 150 1
-190 160 1
-190 170 1
-190 180 1
-190 190 1
-190 200 1
-190 210 1
-190 220 1
-190 230 1
-190 240 1
-190 250 1
-180 -250 1
-180 -240 1
-180 -230 1
-180 -220 1
-180 -210 1
-180 -200 1
-180 -190 1
-180 -180 1
-180 -170 1
-180 -160 1
-180 -150 1
-180 -140 1
-180 -130 1
-180 -120 1
-180 -110 1
-180 -100 1
-180 -90 1
-180 -80 1
-180 -70 1
-180 -60 1
-180 -50 1
-180 -40 1
-180 -30 1
-180 -20 1
-180 -10 1
-180 0 1
-180 10 1
-180 20 1
-180 30 1
-180 40 1
-180 50 1
-180 60 1
-180 70 1
-180 80 1
-180 90 1
-180 100 1
-180 110 1
-180 120 1
-180 130 1
-180 140 1
-180 150 1
-180 160 1
-180 170 1
-180 180 1
-180 190 1
-180 200 1
-180 210 1
-180 220 1
-180 230 1
-180 240 1
-180 250 1
-170 -250 1
-170 -240 1
-170 -230 1
-170 -220 1
-170 -210 1
-170 -200 1
-170 -190 1
-170 -180 1
-170 -170 1
-170 -160 1
-170 -150 1
-170 -140 1
-170 -130 1
-170 -120 1
-170 -110 1
-170 -100 1
-170 -90 1
-170 -80 1
-170 -70 1
-170 -60 1
-170 -50 1
-170 -40 1
-170 -30 1
-170 -20 1
-170 -10 1
-170 0 1
-170 10 1
-170 20 1
-170 30 1
-170 40 1
-170 50 1
-170 60 1
-170 70 1
-170 80 1
