PARAMS map_range=60 map_step=1
H_Delta V_Delta RSSI
-57 -13 2147
-57 -12 2208
-57 -11 2064
-57 -10 2024
-57 -9 2124
-57 -8 1978
-57 -7 1790
-57 -6 1797
-57 -5 1837
-57 -4 1932
-57 -3 1786
-57 -2 1780
-57 -1 1973
-57 0 1984
-57 1 1965
-57 2 2160
-57 3 1934
-57 4 1940
-57 5 1730
-57 6 1625
-57 7 1571
-57 8 1788
-57 9 1577
-57 10 1629
-57 11 1542
-57 12 1565
-57 13 1441
-57 14 1368
-57 15 1400
-57 16 1210
-57 17 1039
-57 18 920
-57 19 858
-57 20 927
-57 21 904
-57 22 884
-57 23 790
-57 24 712
-57 25 590
-57 26 544
-57 27 534
-57 28 480
-57 29 440
-57 30 349
-57 31 306
-57 32 293
-57 33 250
-57 34 258
-57 35 231
-57 36 234
-57 37 189
-57 38 213
-57 39 171
-57 40 161
-57 41 141
-57 42 141
-57 43 117
-57 44 103
-57 45 75
-57 46 71
-57 47 64
-57 48 33
-57 49 47
-57 50 46
-57 51 40
-57 52 38
-57 53 35
-57 54 32
-57 55 25
-57 56 21
-57 57 16
-57 58 15
-57 59 14
-57 60 13
-56 -60 14
-56 -59 17
-56 -58 18
-56 -57 19
-56 -56 20
-56 -55 18
-56 -54 23
-56 -53 27
-56 -52 40
-56 -51 41
-56 -50 54
-56 -49 66
-56 -48 75
-56 -47 91
-56 -46 117
-56 -45 122
-56 -44 175
-56 -43 202
-56 -42 216
-56 -41 224
-56 -40 266
-56 -39 299
-56 -38 283
-56 -37 336
-56 -36 379
-56 -35 434
-56 -34 448
-56 -33 514
-56 -32 527
-56 -31 657
-56 -30 783
-56 -29 847
-56 -28 847
-56 -27 975
-56 -26 1160
-56 -25 1146
-56 -24 1187
-56 -23 1411
-56 -22 1504
-56 -21 1843
-56 -20 1899
-56 -19 1858
-56 -18 1907
-56 -17 1905
-56 -16 1938
-56 -15 2102
-56 -14 2210
-56 -13 2347
-56 -12 2414
-56 -11 2358
-56 -10 2322
-56 -9 2464
-56 -8 2523
-56 -7 2583
-56 -6 2541
-56 -5 2555
-56 -4 2685
-56 -3 2557
-56 -2 2477
-56 -1 2459
-56 0 2562
-56 1 2664
-56 2 2636
-56 3 2468
-56 4 2511
-56 5 2311
-56 6 2169
-56 7 2077
-56 8 2156
-56 9 2026
-56 10 2109
-56 11 2105
-56 12 1934
-56 13 2011
-56 14 1778
-56 15 1740
-56 16 1505
-56 17 1168
-56 18 1260
-56 19 1125
-56 20 1027
-56 21 993
-56 22 937
-56 23 878
-56 24 760
-56 25 736
-56 26 703
-56 27 611
-56 28 491
-56 29 441
-56 30 387
-56 31 419
-56 32 327
-56 33 293
-56 34 251
-56 35 239
-56 36 212
-56 37 169
-56 38 223
-56 39 186
-56 40 172
-56 41 183
-56 42 157
-56 43 146
-56 44 119
-56 45 117
-56 46 96
-56 47 93
-56 48 76
-56 49 76
-56 50 52
-56 51 43
-56 52 39
-56 53 35
-56 54 32
-56 55 27
-56 56 24
-56 57 19
-56 58 18
-56 59 17
-56 60 15
-55 -60 14
-55 -59 17
-55 -58 20
-55 -57 24
-55 -56 30
-55 -55 29
-55 -54 37
-55 -53 40
-55 -52 44
-55 -51 55
-55 -50 71
-55 -49 96
-55 -48 100
-55 -47 135
-55 -46 128
-55 -45 168
-55 -44 185
-55 -43 210
-55 -42 302
-55 -41 301
-55 -40 405
-55 -39 362
-55 -38 379
-55 -37 428
-55 -36 507
-55 -35 542
-55 -34 593
-55 -33 623
-55 -32 801
-55 -31 970
-55 -30 1115
-55 -29 1070
-55 -28 1192
-55 -27 1275
-55 -26 1324
-55 -25 1385
-55 -24 1621
-55 -23 1778
-55 -22 1825
-55 -21 1776
-55 -20 1730
-55 -19 1938
-55 -18 2079
-55 -17 2005
-55 -16 2150
-55 -15 2285
-55 -14 2333
-55 -13 2546
-55 -12 2409
-55 -11 2495
-55 -10 2631
-55 -9 2723
-55 -8 2711
-55 -7 2527
-55 -6 2507
-55 -5 2450
-55 -4 2553
-55 -3 2763
-55 -2 2657
-55 -1 2641
-55 0 2613
-55 1 2671
-55 2 2683
-55 3 2608
-55 4 2530
-55 5 2580
-55 6 2525
-55 7 2500
-55 8 2325
-55 9 2398
-55 10 2280
-55 11 2165
-55 12 2195
-55 13 1897
-55 14 1862
-55 15 1678
-55 16 1592
-55 17 1653
-55 18 1563
-55 19 1454
-55 20 1322
-55 21 1148
-55 22 1232
-55 23 1139
-55 24 968
-55 25 796
-55 26 764
-55 27 680
-55 28 578
-55 29 529
-55 30 531
-55 31 463
-55 32 418
-55 33 366
-55 34 357
-55 35 323
-55 36 288
-55 37 272
-55 38 196
-55 39 191
-55 40 206
-55 41 185
-55 42 151
-55 43 146
-55 44 110
-55 45 108
-55 46 86
-55 47 85
-55 48 75
-55 49 70
-55 50 64
-55 51 47
-55 52 46
-55 53 35
-55 54 33
-55 55 28
-55 56 26
-55 57 20
-55 58 21
-55 59 18
-55 60 14
-54 -60 32
-54 -59 30
-54 -58 37
-54 -57 41
-54 -56 47
-54 -55 63
-54 -54 74
-54 -53 86
-54 -52 111
-54 -51 129
-54 -50 150
-54 -49 175
-54 -48 218
-54 -47 265
-54 -46 276
-54 -45 314
-54 -44 359
-54 -43 409
-54 -42 461
-54 -41 550
-54 -40 548
-54 -39 599
-54 -38 638
-54 -37 683
-54 -36 771
-54 -35 910
-54 -34 1024
-54 -33 1096
-54 -32 1178
-54 -31 1273
-54 -30 1284
-54 -29 1488
-54 -28 1588
-54 -27 1813
-54 -26 1938
-54 -25 2045
-54 -24 2165
-54 -23 2327
-54 -22 2412
-54 -21 2652
-54 -20 2537
-54 -19 2650
-54 -18 2592
-54 -17 2587
-54 -16 2711
-54 -15 2841
-54 -14 2940
-54 -13 3115
-54 -12 3068
-54 -11 3088
-54 -10 2865
-54 -9 3244
-54 -8 3330
-54 -7 3384
-54 -6 3634
-54 -5 3639
-54 -4 3634
-54 -3 3483
-54 -2 3449
-54 -1 3504
-54 0 3421
-54 1 3457
-54 2 3384
-54 3 3320
-54 4 3241
-54 5 3085
-54 6 3145
-54 7 3071
-54 8 2865
-54 9 2861
-54 10 2863
-54 11 2560
-54 12 2087
-54 13 1961
-54 14 2075
-54 15 1980
-54 16 2098
-54 17 2030
-54 18 2073
-54 19 1776
-54 20 1608
-54 21 1433
-54 22 1441
-54 23 1232
-54 24 1182
-54 25 1010
-54 26 1032
-54 27 945
-54 28 752
-54 29 805
-54 30 761
-54 31 736
-54 32 681
-54 33 668
-54 34 573
-54 35 502
-54 36 414
-54 37 300
-54 38 287
-54 39 268
-54 40 229
-54 41 222
-54 42 195
-54 43 173
-54 44 147
-54 45 126
-54 46 100
-54 47 99
-54 48 92
-54 49 78
-54 50 75
-54 51 64
-54 52 44
-54 53 39
-54 54 39
-54 55 33
-54 56 27
-54 57 22
-54 58 19
-54 59 17
-54 60 16
-53 -60 29
-53 -59 35
-53 -58 39
-53 -57 46
-53 -56 51
-53 -55 60
-53 -54 83
-53 -53 92
-53 -52 103
-53 -51 133
-53 -50 164
-53 -49 181
-53 -48 208
-53 -47 273
-53 -46 361
-53 -45 391
-53 -44 392
-53 -43 441
-53 -42 443
-53 -41 548
-53 -40 552
-53 -39 593
-53 -38 647
-53 -37 796
-53 -36 927
-53 -35 963
-53 -34 1079
-53 -33 1224
-53 -32 1207
-53 -31 1409
-53 -30 1534
-53 -29 1674
-53 -28 1862
-53 -27 2062
-53 -26 2043
-53 -25 2232
-53 -24 2294
-53 -23 2523
-53 -22 2391
-53 -21 2484
-53 -20 2523
-53 -19 2351
-53 -18 2571
-53 -17 2815
-53 -16 2914
-53 -15 3158
-53 -14 3348
-53 -13 3198
-53 -12 3183
-53 -11 3292
-53 -10 3507
-53 -9 3642
-53 -8 3777
-53 -7 3671
-53 -6 3731
-53 -5 3975
-53 -4 3883
-53 -3 3804
-53 -2 3782
-53 -1 3709
-53 0 3674
-53 1 3557
-53 2 3488
-53 3 3549
-53 4 3872
-53 5 4028
-53 6 3650
-53 7 3671
-53 8 3642
-53 9 3507
-53 10 3216
-53 11 3190
-53 12 3006
-53 13 3103
-53 14 2730
-53 15 2403
-53 16 2509
-53 17 2367
-53 18 2230
