PARAMS map_range=60 map_step=1
H_Delta V_Delta RSSI
-33 -57 1629
-32 -57 1784
-31 -57 1909
-30 -57 2223
-29 -57 2353
-28 -57 2396
-27 -57 2477
-26 -57 2923
-25 -57 3193
-24 -57 3249
-23 -57 3499
-22 -57 3747
-21 -57 3978
-20 -57 4104
-19 -57 3889
-18 -57 3546
-17 -57 3864
-16 -57 3669
-15 -57 3731
-14 -57 4152
-13 -57 4273
-12 -57 4675
-11 -57 4552
-10 -57 4448
-9 -57 4404
-8 -57 4284
-7 -57 4250
-6 -57 4531
-5 -57 4416
-4 -57 4754
-3 -57 4636
-2 -57 4684
-1 -57 4791
0 -57 4785
1 -57 5047
2 -57 4952
3 -57 5136
4 -57 4890
5 -57 4956
6 -57 5082
7 -57 5123
8 -57 4962
9 -57 4937
10 -57 5265
11 -57 4990
12 -57 4825
13 -57 4627
14 -57 4247
15 -57 4519
16 -57 5226
17 -57 4865
18 -57 4152
19 -57 4070
20 -57 3992
21 -57 3894
22 -57 3709
23 -57 3486
24 -57 3228
25 -57 2992
26 -57 2725
27 -57 2775
28 -57 2543
29 -57 2557
30 -57 2396
31 -57 2075
32 -57 1994
33 -57 1909
34 -57 1708
35 -57 1860
36 -57 1734
37 -57 1519
38 -57 1460
39 -57 1515
40 -57 1579
41 -57 1150
42 -57 1146
43 -57 807
44 -57 672
45 -57 735
46 -57 528
47 -57 409
48 -57 372
49 -57 396
50 -57 281
51 -57 228
52 -57 195
53 -57 195
54 -57 128
55 -57 101
56 -57 99
57 -57 95
58 -57 71
59 -57 63
60 -57 67
-60 -56 14
-59 -56 15
-58 -56 23
-57 -56 26
-56 -56 36
-55 -56 44
-54 -56 52
-53 -56 50
-52 -56 97
-51 -56 147
-50 -56 112
-49 -56 176
-48 -56 188
-47 -56 207
-46 -56 261
-45 -56 296
-44 -56 359
-43 -56 477
-42 -56 554
-41 -56 744
-40 -56 925
-39 -56 942
-38 -56 1217
-37 -56 1372
-36 -56 1132
-35 -56 1392
-34 -56 1643
-33 -56 1961
-32 -56 2360
-31 -56 2443
-30 -56 2509
-29 -56 2820
-28 -56 2911
-27 -56 2945
-26 -56 3277
-25 -56 3966
-24 -56 3382
-23 -56 3418
-22 -56 3434
-21 -56 3642
-20 -56 3916
-19 -56 3919
-18 -56 4135
-17 -56 4155
-16 -56 4375
-15 -56 4372
-14 -56 4660
-13 -56 4561
-12 -56 4597
-11 -56 4700
-10 -56 4675
-9 -56 4696
-8 -56 5085
-7 -56 5751
-6 -56 4896
-5 -56 4956
-4 -56 5281
-3 -56 5395
-2 -56 5445
-1 -56 5353
0 -56 5281
1 -56 5408
2 -56 5696
3 -56 5676
4 -56 5598
5 -56 5475
6 -56 5353
7 -56 5088
8 -56 5242
9 -56 5213
10 -56 5359
11 -56 5003
12 -56 4770
13 -56 4748
14 -56 4480
15 -56 4528
16 -56 4325
17 -56 4666
18 -56 5481
19 -56 4564
20 -56 3908
21 -56 3801
22 -56 3423
23 -56 3231
24 -56 3256
25 -56 3238
26 -56 2849
27 -56 3211
28 -56 2794
29 -56 2723
30 -56 2958
31 -56 2777
32 -56 2482
33 -56 2202
34 -56 1948
35 -56 1899
36 -56 1612
37 -56 1678
38 -56 1563
39 -56 1500
40 -56 1233
41 -56 1214
42 -56 972
43 -56 987
44 -56 999
45 -56 805
46 -56 689
47 -56 718
48 -56 554
49 -56 522
50 -56 595
51 -56 386
52 -56 296
53 -56 237
54 -56 191
55 -56 166
56 -56 107
57 -56 86
58 -56 67
59 -56 60
60 -56 49
-60 -55 26
-59 -55 32
-58 -55 41
-57 -55 39
-56 -55 45
-55 -55 74
-54 -55 101
-53 -55 125
-52 -55 166
-51 -55 200
-50 -55 257
-49 -55 275
-48 -55 268
-47 -55 296
-46 -55 350
-45 -55 391
-44 -55 413
-43 -55 500
-42 -55 557
-41 -55 654
-40 -55 831
-39 -55 935
-38 -55 1210
-37 -55 1507
-36 -55 2102
-35 -55 1940
-34 -55 1928
-33 -55 1957
-32 -55 2261
-31 -55 2459
-30 -55 2403
-29 -55 2758
-28 -55 2763
-27 -55 2916
-26 -55 3254
-25 -55 3605
-24 -55 3709
-23 -55 3645
-22 -55 3687
-21 -55 3947
-20 -55 3763
-19 -55 4062
-18 -55 4348
-17 -55 4360
-16 -55 4597
-15 -55 4531
-14 -55 4645
-13 -55 4654
-12 -55 4730
-11 -55 4924
-10 -55 5129
-9 -55 5245
-8 -55 5287
-7 -55 5435
-6 -55 5435
-5 -55 5555
-4 -55 5618
-3 -55 5561
-2 -55 5534
-1 -55 5415
0 -55 5652
1 -55 5588
2 -55 5485
3 -55 5561
4 -55 5710
5 -55 5878
6 -55 6117
7 -55 6060
8 -55 5937
9 -55 5889
10 -55 6015
11 -55 6224
12 -55 5571
13 -55 5622
14 -55 5085
15 -55 4813
16 -55 4552
17 -55 4299
18 -55 4084
19 -55 3944
20 -55 3905
21 -55 3831
22 -55 3771
23 -55 3629
24 -55 3774
25 -55 3439
26 -55 3305
27 -55 3218
28 -55 3080
29 -55 2829
30 -55 2772
31 -55 2916
32 -55 2782
33 -55 2825
34 -55 2459
35 -55 2409
36 -55 2132
37 -55 2024
38 -55 1936
39 -55 1718
40 -55 1548
41 -55 1424
42 -55 1396
43 -55 1192
44 -55 1077
45 -55 1036
46 -55 862
47 -55 608
48 -55 554
49 -55 403
50 -55 380
51 -55 341
52 -55 276
53 -55 218
54 -55 182
55 -55 160
56 -55 153
57 -55 173
58 -55 92
59 -55 76
60 -55 70
-60 -54 18
-59 -54 21
-58 -54 33
-57 -54 34
-56 -54 38
-55 -54 48
-54 -54 73
-53 -54 88
-52 -54 110
-51 -54 175
-50 -54 287
-49 -54 319
-48 -54 265
-47 -54 236
-46 -54 306
-45 -54 447
-44 -54 357
-43 -54 436
-42 -54 474
-41 -54 696
-40 -54 1072
-39 -54 1182
-38 -54 1379
-37 -54 1348
-36 -54 1424
-35 -54 1627
-34 -54 1780
-33 -54 2113
-32 -54 2180
-31 -54 2376
-30 -54 2708
-29 -54 2849
-28 -54 3143
-27 -54 3520
-26 -54 3837
-25 -54 3712
-24 -54 3815
-23 -54 3755
-22 -54 3969
-21 -54 4276
-20 -54 4540
-19 -54 4410
-18 -54 4534
-17 -54 4739
-16 -54 4666
-15 -54 4921
-14 -54 4859
-13 -54 4915
-12 -54 5018
-11 -54 5101
-10 -54 5291
-9 -54 5405
-8 -54 5278
-7 -54 5408
-6 -54 5435
-5 -54 5906
-4 -54 6029
-3 -54 6214
-2 -54 6417
-1 -54 6543
0 -54 6659
1 -54 6268
2 -54 6318
3 -54 6124
4 -54 6160
5 -54 6036
6 -54 5993
7 -54 6199
8 -54 6257
9 -54 6242
10 -54 6075
11 -54 5744
12 -54 5625
13 -54 5494
14 -54 5892
15 -54 5304
16 -54 5088
17 -54 5104
18 -54 4921
19 -54 4360
20 -54 4419
21 -54 4307
22 -54 4104
23 -54 4070
24 -54 3782
25 -54 3645
26 -54 3602
27 -54 3246
28 -54 3115
29 -54 3160
30 -54 2904
31 -54 2734
32 -54 2737
33 -54 2718
34 -54 2473
35 -54 2365
36 -54 2421
37 -54 2562
38 -54 2302
39 -54 2098
40 -54 1794
41 -54 1563
42 -54 1494
43 -54 1394
44 -54 1400
45 -54 1168
46 -54 879
47 -54 769
48 -54 783
49 -54 707
50 -54 552
51 -54 451
52 -54 333
53 -54 313
54 -54 245
55 -54 202
56 -54 171
57 -54 131
58 -54 119
59 -54 106
60 -54 86
-60 -53 18
-59 -53 17
-58 -53 25
-57 -53 44
-56 -53 56
-55 -53 59
-54 -53 80
-53 -53 103
-52 -53 127
-51 -53 169
-50 -53 180
-49 -53 277
-48 -53 219
-47 -53 291
-46 -53 350
-45 -53 440
-44 -53 488
-43 -53 595
-42 -53 710
-41 -53 932
-40 -53 1159
-39 -53 1136
-38 -53 1251
-37 -53 1573
-36 -53 1915
-35 -53 2083
-34 -53 2307
-33 -53 2617
-32 -53 2765
-31 -53 2846
