time	X	Y	Z
0.21875	1.15E-05	-4.20E-06	-5.78E-07
0.220703125	1.43E-05	-5.56E-06	2.45E-06
0.22265625	1.69E-05	-6.70E-06	6.32E-06
0.224609375	1.94E-05	-7.75E-06	1.01E-05
0.2265625	2.19E-05	-8.99E-06	1.36E-05
0.228515625	2.45E-05	-1.03E-05	1.73E-05
0.23046875	2.70E-05	-1.18E-05	2.03E-05
0.232421875	2.95E-05	-1.38E-05	2.25E-05
0.234375	3.21E-05	-1.60E-05	2.45E-05
0.236328125	3.48E-05	-1.84E-05	2.60E-05
0.23828125	3.76E-05	-2.10E-05	2.64E-05
0.240234375	4.03E-05	-2.35E-05	2.64E-05
0.2421875	4.30E-05	-2.58E-05	2.62E-05
0.244140625	4.54E-05	-2.80E-05	2.57E-05
0.24609375	4.77E-05	-2.99E-05	2.54E-05
0.248046875	4.98E-05	-3.12E-05	2.55E-05
0.25	5.16E-05	-3.20E-05	2.57E-05
0.251953125	5.32E-05	-3.24E-05	2.64E-05
0.25390625	5.44E-05	-3.23E-05	2.77E-05
0.255859375	5.53E-05	-3.20E-05	2.92E-05
0.2578125	5.59E-05	-3.17E-05	3.08E-05
0.259765625	5.64E-05	-3.12E-05	3.27E-05
0.26171875	5.66E-05	-3.11E-05	3.45E-05
0.263671875	5.67E-05	-3.12E-05	3.59E-05
0.265625	5.67E-05	-3.13E-05	3.72E-05
0.267578125	5.68E-05	-3.17E-05	3.81E-05
0.26953125	5.69E-05	-3.24E-05	3.87E-05
0.271484375	5.69E-05	-3.32E-05	3.92E-05
0.2734375	5.70E-05	-3.40E-05	3.95E-05
0.275390625	5.70E-05	-3.47E-05	3.91E-05
0.27734375	5.70E-05	-3.50E-05	3.82E-05
0.279296875	5.71E-05	-3.52E-05	3.68E-05
0.28125	5.72E-05	-3.51E-05	3.50E-05
0.283203125	5.70E-05	-3.45E-05	3.32E-05
0.28515625	5.65E-05	-3.36E-05	3.18E-05
0.287109375	5.58E-05	-3.25E-05	3.06E-05
0.2890625	5.48E-05	-3.12E-05	2.94E-05
0.291015625	5.36E-05	-2.98E-05	2.86E-05
0.29296875	5.24E-05	-2.84E-05	2.80E-05
0.294921875	5.10E-05	-2.70E-05	2.72E-05
0.296875	4.96E-05	-2.59E-05	2.66E-05
0.298828125	4.81E-05	-2.51E-05	2.61E-05
0.30078125	4.64E-05	-2.44E-05	2.52E-05
0.302734375	4.48E-05	-2.39E-05	2.46E-05
0.3046875	4.31E-05	-2.37E-05	2.41E-05
0.306640625	4.14E-05	-2.36E-05	2.30E-05
0.30859375	3.96E-05	-2.35E-05	2.18E-05
0.310546875	3.79E-05	-2.32E-05	2.08E-05
0.3125	3.61E-05	-2.28E-05	1.92E-05
0.314453125	3.44E-05	-2.22E-05	1.75E-05
0.31640625	3.26E-05	-2.14E-05	1.63E-05
0.318359375	3.07E-05	-2.03E-05	1.50E-05
0.3203125	2.88E-05	-1.88E-05	1.40E-05
0.322265625	2.68E-05	-1.71E-05	1.42E-05
0.32421875	2.45E-05	-1.53E-05	1.44E-05
0.326171875	2.23E-05	-1.33E-05	1.44E-05
0.328125	2.04E-05	-1.14E-05	1.51E-05
0.330078125	1.83E-05	-9.84E-06	1.52E-05
0.33203125	1.64E-05	-8.57E-06	1.45E-05
0.333984375	1.47E-05	-7.55E-06	1.39E-05
0.3359375	1.30E-05	-6.85E-06	1.27E-05
0.337890625	1.16E-05	-6.46E-06	1.07E-05
0.33984375	1.04E-05	-6.32E-06	9.01E-06
0.341796875	9.20E-06	-6.33E-06	7.27E-06
0.34375	7.91E-06	-6.34E-06	4.85E-06
0.345703125	6.71E-06	-6.20E-06	2.90E-06
0.34765625	5.36E-06	-5.85E-06	1.30E-06
0.349609375	3.83E-06	-5.17E-06	-6.60E-07
0.3515625	2.31E-06	-4.10E-06	-1.87E-06
0.353515625	5.71E-07	-2.73E-06	-2.17E-06
0.35546875	-1.43E-06	-1.22E-06	-2.66E-06
0.357421875	-3.41E-06	4.04E-07	-2.51E-06
0.359375	-5.45E-06	2.08E-06	-1.29E-06
0.361328125	-7.52E-06	3.62E-06	-3.95E-07
0.36328125	-9.24E-06	4.93E-06	3.62E-07
0.365234375	-1.07E-05	5.99E-06	1.32E-06
0.3671875	-1.21E-05	6.63E-06	1.39E-06
0.369140625	-1.30E-05	6.85E-06	1.09E-06
0.37109375	-1.38E-05	6.74E-06	1.16E-06
0.373046875	-1.44E-05	6.34E-06	4.06E-07
0.375	-1.49E-05	5.87E-06	-1.16E-06
0.376953125	-1.51E-05	5.43E-06	-2.67E-06
0.37890625	-1.54E-05	5.03E-06	-4.78E-06
0.380859375	-1.55E-05	4.87E-06	-7.41E-06
0.3828125	-1.54E-05	5.08E-06	-9.52E-06
0.384765625	-1.54E-05	5.50E-06	-1.17E-05
0.38671875	-1.53E-05	6.11E-06	-1.40E-05
0.388671875	-1.53E-05	7.03E-06	-1.53E-05
0.390625	-1.56E-05	8.14E-06	-1.60E-05
0.392578125	-1.60E-05	9.24E-06	-1.66E-05
0.39453125	-1.64E-05	1.03E-05	-1.60E-05
0.396484375	-1.69E-05	1.10E-05	-1.51E-05
0.3984375	-1.73E-05	1.13E-05	-1.45E-05
0.400390625	-1.75E-05	1.14E-05	-1.36E-05
0.40234375	-1.78E-05	1.12E-05	-1.24E-05
0.404296875	-1.82E-05	1.08E-05	-1.18E-05
0.40625	-1.83E-05	1.02E-05	-1.12E-05
0.408203125	-1.84E-05	9.62E-06	-1.06E-05
0.41015625	-1.83E-05	8.88E-06	-1.07E-05
0.412109375	-1.80E-05	8.24E-06	-1.11E-05
0.4140625	-1.77E-05	7.82E-06	-1.15E-05
0.416015625	-1.73E-05	7.53E-06	-1.25E-05
0.41796875	-1.68E-05	7.56E-06	-1.34E-05
0.419921875	-1.62E-05	8.00E-06	-1.38E-05
0.421875	-1.58E-05	8.57E-06	-1.39E-05
0.423828125	-1.54E-05	9.28E-06	-1.36E-05
0.42578125	-1.51E-05	1.01E-05	-1.26E-05
0.427734375	-1.49E-05	1.08E-05	-1.13E-05
0.4296875	-1.45E-05	1.12E-05	-1.00E-05
0.431640625	-1.42E-05	1.15E-05	-8.81E-06
0.43359375	-1.38E-05	1.13E-05	-8.11E-06
0.435546875	-1.32E-05	1.08E-05	-8.07E-06
0.4375	-1.25E-05	1.02E-05	-8.32E-06
0.439453125	-1.18E-05	9.20E-06	-8.76E-06
0.44140625	-1.11E-05	7.87E-06	-9.39E-06
0.443359375	-1.03E-05	6.56E-06	-1.00E-05
0.4453125	-9.74E-06	5.35E-06	-1.05E-05
0.447265625	-9.10E-06	4.32E-06	-1.11E-05
0.44921875	-8.45E-06	3.65E-06	-1.18E-05
0.451171875	-7.97E-06	3.28E-06	-1.23E-05
0.453125	-7.56E-06	3.24E-06	-1.22E-05
0.455078125	-7.20E-06	3.66E-06	-1.18E-05
0.45703125	-6.96E-06	4.24E-06	-1.09E-05
0.458984375	-6.77E-06	4.77E-06	-9.31E-06
0.4609375	-6.61E-06	5.41E-06	-7.36E-06
0.462890625	-6.50E-06	6.02E-06	-5.38E-06
0.46484375	-6.22E-06	6.34E-06	-3.52E-06
0.466796875	-5.78E-06	6.37E-06	-1.92E-06
0.46875	-5.37E-06	5.98E-06	-7.37E-07
0.470703125	-4.88E-06	5.13E-06	1.72E-07
0.47265625	-4.25E-06	4.10E-06	6.76E-07
0.474609375	-3.56E-06	3.04E-06	4.15E-07
0.4765625	-2.74E-06	1.87E-06	-3.34E-07
0.478515625	-1.83E-06	7.69E-07	-1.41E-06
0.48046875	-9.33E-07	-2.31E-07	-2.84E-06
0.482421875	-2.83E-08	-1.14E-06	-4.16E-06
0.484375	8.22E-07	-1.73E-06	-5.15E-06
0.486328125	1.46E-06	-1.95E-06	-5.92E-06
0.48828125	1.93E-06	-1.92E-06	-6.21E-06
0.490234375	2.24E-06	-1.61E-06	-5.94E-06
0.4921875	2.24E-06	-1.10E-06	-5.43E-06
0.494140625	2.05E-06	-5.54E-07	-4.40E-06
0.49609375	1.79E-06	-3.59E-08	-2.61E-06
0.498046875	1.43E-06	2.94E-07	-7.05E-07
0.5	1.14E-06	2.58E-07	1.13E-06
0.501953125	1.03E-06	-2.80E-09	3.11E-06
0.50390625	9.91E-07	-4.16E-07	4.68E-06
0.505859375	1.11E-06	-1.06E-06	5.76E-06
0.5078125	1.49E-06	-1.76E-06	6.76E-06
0.509765625	1.97E-06	-2.51E-06	7.16E-06
0.51171875	2.53E-06	-3.42E-06	6.72E-06
0.513671875	3.27E-06	-4.19E-06	6.01E-06
0.515625	3.98E-06	-4.73E-06	4.85E-06
0.517578125	4.67E-06	-5.16E-06	3.30E-06
0.51953125	5.37E-06	-5.17E-06	2.28E-06
0.521484375	5.83E-06	-4.74E-06	1.69E-06
0.5234375	6.04E-06	-4.18E-06	1.15E-06
0.525390625	6.19E-06	-3.38E-06	1.24E-06
0.52734375	6.19E-06	-2.34E-06	1.90E-06
0.529296875	6.02E-06	-1.46E-06	2.55E-06
0.53125	5.92E-06	-7.40E-07	3.48E-06
0.533203125	5.82E-06	-1.47E-07	4.60E-06
0.53515625	5.67E-06	5.42E-08	5.14E-06
0.537109375	5.60E-06	-1.39E-08	5.52E-06
0.5390625	5.50E-06	-2.87E-07	6.28E-06
0.541015625	5.27E-06	-1.07E-06	6.77E-06
0.54296875	5.07E-06	-2.09E-06	6.86E-06
0.544921875	4.93E-06	-2.93E-06	6.85E-06
0.546875	4.71E-06	-3.82E-06	6.06E-06
0.548828125	4.58E-06	-4.61E-06	4.58E-06
0.55078125	4.57E-06	-4.92E-06	3.36E-06
0.552734375	4.53E-06	-5.00E-06	2.36E-06
0.5546875	4.51E-06	-4.89E-06	1.53E-06
0.556640625	4.52E-06	-4.31E-06	1.51E-06
0.55859375	4.36E-06	-3.55E-06	1.95E-06
0.560546875	4.13E-06	-2.76E-06	2.31E-06
0.5625	3.91E-06	-1.75E-06	3.24E-06
0.564453125	3.62E-06	-9.18E-07	4.56E-06
0.56640625	3.38E-06	-5.10E-07	5.40E-06
0.568359375	3.30E-06	-2.21E-07	6.14E-06
0.5703125	3.29E-06	-2.36E-07	6.77E-06
0.572265625	3.37E-06	-7.63E-07	6.67E-06
0.57421875	3.57E-06	-1.39E-06	6.35E-06
0.576171875	3.78E-06	-2.10E-06	6.08E-06
0.578125	4.01E-06	-3.01E-06	5.03E-06
0.580078125	4.32E-06	-3.73E-06	3.43E-06
0.58203125	4.57E-06	-4.19E-06	2.08E-06
0.583984375	4.68E-06	-4.60E-06	5.10E-07
0.5859375	4.66E-06	-4.64E-06	-9.99E-07
0.587890625	4.48E-06	-4.27E-06	-1.40E-06
0.58984375	4.15E-06	-3.82E-06	-1.41E-06
0.591796875	3.71E-06	-3.09E-06	-1.41E-06
0.59375	3.05E-06	-2.13E-06	-3.18E-07
0.595703125	2.21E-06	-1.44E-06	1.34E-06
0.59765625	1.41E-06	-8.14E-07	2.79E-06
0.599609375	7.94E-07	-1.16E-07	4.79E-06
0.6015625	3.24E-07	1.38E-07	6.77E-06
0.603515625	-3.59E-08	2.01E-09	7.52E-06
0.60546875	-2.25E-07	-1.37E-07	7.88E-06
0.607421875	-2.54E-07	-5.68E-07	8.11E-06
0.609375	-1.79E-07	-1.35E-06	7.32E-06
0.611328125	1.94E-08	-2.15E-06	6.42E-06
0.61328125	2.76E-07	-3.02E-06	5.88E-06
0.615234375	5.00E-07	-3.84E-06	4.26E-06
0.6171875	7.75E-07	-4.23E-06	2.19E-06
0.619140625	1.11E-06	-4.37E-06	7.99E-07
0.62109375	1.32E-06	-4.35E-06	-8.66E-07
0.623046875	1.35E-06	-3.81E-06	-2.40E-06
0.625	1.30E-06	-2.96E-06	-2.61E-06
0.626953125	1.07E-06	-2.12E-06	-2.51E-06
0.62890625	5.29E-07	-1.05E-06	-2.26E-06
0.630859375	-1.68E-07	1.07E-07	-6.79E-07
0.6328125	-9.49E-07	9.83E-07	9.32E-07
0.634765625	-1.80E-06	1.72E-06	1.61E-06
0.63671875	-2.45E-06	2.33E-06	2.81E-06
0.638671875	-2.95E-06	2.50E-06	3.91E-06
0.640625	-3.46E-06	2.34E-06	3.91E-06
0.642578125	-3.80E-06	1.96E-06	4.39E-06
0.64453125	-3.87E-06	1.28E-06	4.93E-06
0.646484375	-3.88E-06	6.00E-07	4.13E-06
0.6484375	-3.70E-06	1.46E-07	3.26E-06
0.650390625	-3.32E-06	-2.78E-07	2.36E-06
0.65234375	-2.98E-06	-5.56E-07	2.45E-07
0.654296875	-2.61E-06	-3.76E-07	-1.41E-06
0.65625	-2.19E-06	1.57E-07	-1.95E-06
0.658203125	-2.01E-06	9.56E-07	-3.02E-06
0.66015625	-1.92E-06	2.09E-06	-3.61E-06
0.662109375	-1.78E-06	3.36E-06	-2.77E-06
0.6640625	-1.79E-06	4.52E-06	-2.33E-06
0.666015625	-1.86E-06	5.49E-06	-1.82E-06
0.66796875	-1.76E-06	6.11E-06	-1.34E-07
0.669921875	-1.62E-06	6.28E-06	6.67E-07
0.671875	-1.45E-06	6.11E-06	5.58E-07
0.673828125	-1.10E-06	5.59E-06	1.27E-06
0.67578125	-7.88E-07	4.70E-06	1.19E-06
0.677734375	-5.81E-07	3.67E-06	5.04E-08
0.6796875	-2.25E-07	2.76E-06	-6.65E-08
0.681640625	1.64E-07	1.97E-06	-6.17E-07
0.68359375	4.15E-07	1.36E-06	-2.47E-06
0.685546875	6.22E-07	9.73E-07	-3.13E-06
0.6875	6.93E-07	7.73E-07	-3.35E-06
0.689453125	5.21E-07	8.80E-07	-4.44E-06
0.69140625	3.60E-07	1.42E-06	-4.19E-06
0.693359375	2.42E-07	2.16E-06	-3.09E-06
0.6953125	-5.52E-08	2.87E-06	-2.94E-06
0.697265625	-3.95E-07	3.54E-06	-1.84E-06
0.69921875	-6.56E-07	4.07E-06	2.24E-07
