time	P	Y	R
0.488	3.04E-05	0.0001287305062	9.52E-05
0.492	2.56E-05	0.0001264465595	0.0001005132549
0.496	1.35E-05	0.0001320698258	0.0001047636675
0.5	1.19E-05	0.0001265302451	0.000110097023
0.504	5.07E-06	0.0001242430807	0.0001101161379
0.508	9.96E-06	0.0001227631712	9.49E-05
0.512	1.28E-05	0.0001207909103	9.88E-05
0.516	5.22E-06	0.0001193098496	9.44E-05
0.52	5.06E-06	0.0001133591351	0.000103163365
0.524	-5.73E-07	0.0001157865954	9.95E-05
0.528	-1.88E-05	0.0001102012408	0.0001060769584
0.532	-3.07E-05	0.0001127813829	9.28E-05
0.536	-3.26E-05	0.0001072844185	9.86E-05
0.54	-3.25E-05	0.0001052664866	8.81E-05
0.544	-2.44E-05	0.0001108575526	9.63E-05
0.548	-1.95E-05	0.0001084670205	7.45E-05
0.552	-2.02E-05	0.0001065255713	5.89E-05
0.556	-2.18E-05	0.0001008144627	4.85E-05
0.56	-2.57E-05	0.0001028420134	5.42E-05
0.564	-3.53E-05	0.0001048769443	6.40E-05
0.568	-4.47E-05	9.50E-05	4.36E-05
0.572	-3.94E-05	9.68E-05	3.23E-05
0.576	-3.90E-05	0.0001025149581	2.09E-05
0.58	-2.82E-05	9.29E-05	3.27E-05
0.584	-3.19E-05	8.33E-05	3.73E-05
0.588	-3.45E-05	7.78E-05	2.74E-05
0.592	-4.01E-05	7.60E-05	1.63E-05
0.596	-4.51E-05	7.82E-05	-4.58E-06
0.6	-5.19E-05	8.01E-05	-1.14E-05
0.604	-5.93E-05	7.85E-05	-2.06E-05
0.608	-6.08E-05	8.05E-05	-1.65E-05
0.612	-6.74E-05	7.53E-05	5.59E-06
0.616	-6.95E-05	7.00E-05	1.24E-05
0.62	-7.09E-05	6.82E-05	1.24E-05
0.624	-6.32E-05	6.64E-05	-2.95E-06
0.628	-5.75E-05	6.85E-05	-2.05E-05
0.632	-5.21E-05	6.70E-05	-3.27E-05
0.636	-4.48E-05	6.52E-05	-4.86E-05
0.64	-4.55E-05	5.99E-05	-4.82E-05
0.644	-3.51E-05	5.73E-05	-3.53E-05
0.648	-3.17E-05	5.20E-05	-2.92E-05
0.652	-3.84E-05	5.08E-05	-3.00E-05
0.656	-4.50E-05	5.69E-05	-3.86E-05
0.66	-4.87E-05	5.15E-05	-4.16E-05
0.664	-5.08E-05	4.60E-05	-5.14E-05
0.668	-5.05E-05	4.45E-05	-3.94E-05
0.672	-5.57E-05	3.90E-05	-5.13E-05
0.676	-5.66E-05	4.86E-05	-7.00E-05
0.68	-4.75E-05	5.46E-05	-7.46E-05
0.684	-4.48E-05	6.04E-05	-8.93E-05
0.688	-3.20E-05	5.88E-05	-7.55E-05
0.692	-1.42E-05	5.69E-05	-6.34E-05
0.696	-4.94E-06	5.52E-05	-5.39E-05
0.7	-1.58E-05	6.13E-05	-4.39E-05
0.704	-1.68E-06	5.16E-05	-4.36E-05
0.708	-1.15E-05	5.79E-05	-5.10E-05
0.712	-2.08E-05	4.88E-05	-3.88E-05
0.716	-2.59E-05	4.70E-05	-3.68E-05
0.72	-4.27E-05	4.54E-05	-3.91E-05
0.724	-3.93E-05	5.52E-05	-2.68E-05
0.728	-4.71E-05	5.79E-05	-1.42E-05
0.732	-5.46E-05	5.63E-05	1.99E-05
0.736	-5.32E-05	5.07E-05	3.22E-05
0.74	-5.37E-05	4.89E-05	5.27E-05
0.744	-4.58E-05	5.08E-05	6.53E-05
0.748	-5.28E-05	5.31E-05	6.38E-05
0.752	-3.14E-05	5.05E-05	6.53E-05
0.756	-3.40E-05	5.28E-05	5.26E-05
0.76	-2.83E-05	4.73E-05	7.10E-05
0.764	-3.46E-05	4.62E-05	7.36E-05
0.768	-3.67E-05	4.47E-05	8.91E-05
0.772	-4.56E-05	5.50E-05	9.74E-05
0.776	-4.54E-05	4.57E-05	9.71E-05
0.78	-4.18E-05	3.66E-05	0.0001071925679
0.784	-2.61E-05	3.52E-05	0.0001014848673
0.788	-2.98E-05	3.81E-05	0.000105774699
0.792	-2.35E-05	4.05E-05	0.0001003780025
0.796	-1.10E-05	4.66E-05	0.0001034517568
0.8	-4.88E-06	4.87E-05	0.0001054655136
0.804	-5.35E-06	4.73E-05	0.0001063716611
0.808	-5.38E-06	5.34E-05	0.0001003089326
0.812	2.20E-06	5.16E-05	0.0001089644486
0.816	1.45E-06	4.61E-05	0.0001138795864
0.82	5.68E-06	4.84E-05	0.0001102016346
0.824	2.25E-06	5.45E-05	9.39E-05
0.828	-5.27E-06	5.66E-05	0.0001005409528
0.832	-1.86E-06	5.09E-05	0.0001175743116
0.836	4.75E-06	4.55E-05	0.000110596477
0.84	5.35E-06	4.42E-05	0.0001160371747
0.844	5.90E-06	4.28E-05	0.0001112363952
0.848	-1.00E-05	4.93E-05	0.0001156378389
0.852	-1.71E-05	5.92E-05	0.0001107729197
0.856	-2.92E-05	5.36E-05	0.0001058967348
0.86	-2.98E-05	5.21E-05	0.0001061191348
0.864	-2.51E-05	5.44E-05	0.0001055797081
0.868	-3.24E-05	5.29E-05	9.80E-05
0.872	-2.71E-05	5.12E-05	8.36E-05
0.876	-3.41E-05	4.22E-05	7.75E-05
0.88	-4.22E-05	3.30E-05	7.17E-05
0.884	-4.06E-05	3.15E-05	9.04E-05
0.888	-4.09E-05	3.01E-05	9.26E-05
0.892	-3.21E-05	2.10E-05	9.93E-05
0.896	-2.82E-05	3.48E-05	7.90E-05
0.9	-2.89E-05	4.11E-05	5.30E-05
0.904	-1.94E-05	5.46E-05	4.18E-05
0.908	-6.26E-06	5.29E-05	5.04E-05
0.912	-1.45E-05	5.48E-05	4.71E-05
0.916	-2.66E-05	5.73E-05	3.13E-05
0.92	-2.48E-05	6.32E-05	2.96E-05
0.924	-3.35E-05	5.34E-05	1.70E-05
0.928	-4.23E-05	4.42E-05	3.46E-05
0.932	-4.05E-05	4.25E-05	3.33E-05
0.936	-3.84E-05	4.50E-05	3.88E-05
0.94	-4.12E-05	4.72E-05	2.59E-05
0.944	-4.62E-05	4.18E-05	1.60E-05
0.948	-5.68E-05	3.28E-05	2.70E-05
0.952	-5.41E-05	3.89E-05	1.90E-05
0.956	-4.42E-05	4.15E-05	2.84E-05
0.96	-3.10E-05	4.34E-05	1.99E-05
0.964	-2.42E-05	3.78E-05	-4.62E-06
0.968	-1.52E-05	3.64E-05	-1.17E-05
0.972	-9.52E-07	3.47E-05	-9.30E-07
0.976	-6.04E-07	3.31E-05	6.18E-06
0.98	-1.03E-06	3.17E-05	4.25E-06
0.984	-1.15E-05	2.68E-05	-1.83E-05
0.988	-1.13E-05	2.14E-05	-3.63E-05
0.992	-1.13E-05	1.99E-05	-4.17E-05
0.996	-1.40E-05	1.47E-05	-2.83E-05
1	-6.08E-06	2.05E-05	-1.96E-05
1.004	-9.40E-06	3.12E-05	-1.05E-05
1.008	-1.46E-05	2.94E-05	1.23E-08
1.012	-1.83E-05	2.41E-05	-1.33E-05
1.016	-1.69E-05	1.92E-05	-5.13E-06
1.02	-2.39E-05	1.45E-05	-1.48E-05
1.024	-2.95E-05	1.67E-05	-1.63E-05
1.028	-2.75E-05	1.88E-05	-2.23E-05
1.032	-1.68E-05	1.72E-05	-4.11E-05
1.036	-2.03E-05	1.24E-05	-4.87E-05
1.04	-1.47E-07	7.03E-06	-4.95E-05
1.044	1.87E-05	1.32E-05	-3.80E-05
1.048	1.54E-05	2.36E-05	-3.58E-05
1.052	6.96E-06	1.84E-05	-4.42E-05
1.056	-5.80E-07	2.49E-05	-6.60E-05
1.06	1.86E-06	2.74E-05	-5.89E-05
1.064	-7.36E-06	1.45E-05	-6.76E-05
1.068	-1.27E-05	5.61E-06	-5.86E-05
1.072	-1.75E-05	8.70E-06	-5.23E-05
1.076	-1.48E-05	-1.22E-07	-6.18E-05
1.08	-2.03E-05	-4.99E-06	-5.67E-05
1.084	-2.09E-05	-6.26E-06	-6.03E-05
1.088	-2.51E-05	-1.12E-05	-7.83E-05
1.092	-3.49E-05	-2.40E-05	-8.10E-05
1.096	-4.10E-05	-2.89E-05	-8.29E-05
1.1	-3.55E-05	-2.61E-05	-7.71E-05
1.104	-3.44E-05	-2.73E-05	-8.24E-05
1.108	-3.32E-05	-1.70E-05	-6.18E-05
1.112	-3.57E-05	-1.39E-05	-5.86E-05
1.116	-2.97E-05	-1.11E-05	-5.80E-05
