time	P	Y	R
0	-0.0006127983416	-0.0063048535	-0.001090161401
0.004	-0.0005330288184	-0.006224877925	-0.001211068946
0.008	-0.0006014358541	-0.006017359122	-0.00134274772
0.012	-0.0005748941309	-0.005769743578	-0.001299702927
0.016	-0.0005583099517	-0.00546994161	-0.001214842155
0.02	-0.0005001353885	-0.005210367182	-0.001150345433
0.024	-0.000444247839	-0.004947302415	-0.001067687267
0.028	-0.0004183862151	-0.004726038608	-0.001032195896
0.032	-0.0003393488672	-0.004573662367	-0.001009432472
0.036	-0.0002599785419	-0.004501176529	-0.00107230401
0.04	-0.0002790521407	-0.004274342565	-0.001057737985
0.044	-0.0003162443718	-0.003929545268	-0.0009327164019
0.048	-0.0003525487413	-0.003478465864	-0.0007008083703
0.052	-0.000351537617	-0.003132941559	-0.0005407512933
0.056	-0.0003395145697	-0.002930632949	-0.000483423895
0.06	-0.0002976158495	-0.002871964049	-0.0005792068013
0.064	-0.0002398692476	-0.002736482852	-0.0005646666096
0.068	-0.0002477128607	-0.002560056298	-0.0005685109086
0.072	-0.0002332378892	-0.002391651596	-0.0005473126219
0.076	-0.0002270307242	-0.002191966616	-0.0005084753671
0.08	-0.0002260437236	-0.0019565683	-0.0004163039739
0.084	-0.000215169907	-0.001728709366	-0.0003314910554
0.088	-0.0001705184501	-0.001613468997	-0.0003298665011
0.092	-0.0001435347796	-0.001752986203	-0.0005834606933
0.096	-8.23E-05	-0.001644987772	-0.0005811512063
0.1	-7.46E-05	-0.001477220223	-0.0005380110343
0.104	-0.0001334783106	-0.001187066376	-0.0003871212347
0.108	-0.0001060951643	-0.0009892773968	-0.0003043800969
0.112	-4.77E-05	-0.0008161919143	-0.0002123894104
0.116	-3.95E-05	-0.0006688048811	-0.0001542140464
0.12	-3.51E-05	-0.0006432439426	-0.0002681536449
0.124	-1.44E-05	-0.0005432231743	-0.0002413788799
0.128	-4.00E-06	-0.0004363465822	-0.0002406971629
0.132	1.45E-05	-0.0002854162309	-0.0001845869033
0.136	-9.56E-06	-3.80E-05	-4.03E-05
0.14	1.34E-05	0.0001011978479	1.14E-05
0.144	8.58E-05	0.0001899410016	6.60E-05
0.148	0.0001119683381	0.000236457372	2.78E-05
0.152	5.97E-05	0.0002028706788	-0.0001434758979
0.156	3.89E-05	0.0003385383007	-0.0001395889691
0.16	7.21E-05	0.0004066047829	-0.0001278923548
0.164	4.55E-05	0.0005749699989	-6.26E-05
0.168	-4.71E-05	0.0008687774677	6.73E-05
0.172	-4.70E-05	0.00106397737	0.0001973954511
0.176	1.73E-05	0.001086326473	0.0001946669865
0.18	3.78E-05	0.001130937011	0.0001756909219
0.184	5.16E-05	0.001210543602	0.0002160013491
0.188	4.33E-05	0.001314918536	0.0002334540668
0.192	5.23E-05	0.001392346657	0.0002447557347
0.196	8.24E-05	0.001522386524	0.0003480736658
0.2	0.0001241912886	0.001611007435	0.0004225429967
0.204	0.0001435028947	0.001666150645	0.0004093481721
0.208	1.53E-05	0.001669126421	0.0002553094192
0.212	-3.15E-05	0.001702927526	0.0002035249975
0.216	-0.0001422246083	0.001769475519	0.0001266423115
0.22	-0.0001154797754	0.001808804823	0.0001218059008
0.224	-0.0001042961311	0.001918104596	0.0002278483035
0.228	-6.62E-05	0.002006756005	0.0003082754317
0.232	-9.63E-06	0.002002551703	0.0003002812902
0.236	6.74E-06	0.00198264727	0.0002765696725
0.24	-1.43E-05	0.002019144372	0.0002552848127
0.244	2.29E-05	0.002019394214	0.0002318969785
0.248	8.74E-06	0.002088818135	0.0002717997046
0.252	-9.34E-06	0.002189515747	0.0003437702459
0.256	-2.02E-05	0.002277716229	0.0003816431566
0.26	9.98E-05	0.002283025549	0.0004305796342
0.264	0.000150614672	0.002274394941	0.0004124641407
0.268	0.000145786969	0.002240758279	0.0003137017486
0.272	0.0001306638136	0.002245474637	0.0002996843345
0.276	0.000168438761	0.002177486192	0.0002448733835
0.28	0.0001794481163	0.002258091061	0.0003284690294
0.284	0.0001798394647	0.002337079589	0.0003983313156
0.288	0.0001975204551	0.002379082078	0.0004512591863
0.292	0.0001729961578	0.002412059188	0.000451474699
0.296	9.77E-05	0.002373054131	0.0003266201962
0.3	6.64E-05	0.002375169508	0.0002934501805
0.304	2.65E-05	0.002435631697	0.0002989402894
0.308	4.39E-05	0.002475761254	0.0003753553099
0.312	5.45E-05	0.00266543326	0.0005509334163
0.316	4.96E-05	0.002763312736	0.0006301826052
0.32	9.12E-05	0.002757013955	0.0006386876697
0.324	0.0001176496214	0.002701617493	0.0006003342504
0.328	0.0001353489703	0.002670660553	0.0005982381344
0.332	0.0001985949848	0.002651718318	0.0006174911915
0.336	0.0002053597035	0.002653543224	0.0006066495824
