Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 34586 connected to 10.0.0.2 port 5201
[  4]  66.00-67.00  sec   940 MBytes  7.89 Gbits/sec   45    321 KBytes       
[  4]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  4]  68.00-69.00  sec   809 MBytes  6.79 Gbits/sec  166    645 KBytes       
[  4]  69.00-70.00  sec   295 MBytes  2.47 Gbits/sec  109   1.41 KBytes       
[  4]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec    1    322 KBytes       
[  4]  71.00-72.00  sec  1.02 GBytes  8.77 Gbits/sec  275    622 KBytes       
[  4]  72.00-73.00  sec   982 MBytes  8.24 Gbits/sec    5    544 KBytes       
[  4]  73.00-74.00  sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  4]  74.00-75.00  sec   776 MBytes  6.52 Gbits/sec  385    631 KBytes       
[  4]  75.00-76.00  sec  1.09 GBytes  9.41 Gbits/sec    0    656 KBytes       
[  4]  76.00-77.00  sec   594 MBytes  4.98 Gbits/sec   49   1.41 KBytes       
[  4]  77.00-78.00  sec  43.8 MBytes   367 Mbits/sec  220    799 KBytes       
[  4]  78.00-79.00  sec  1.10 GBytes  9.41 Gbits/sec    0    895 KBytes       
[  4]  79.00-80.00  sec  1.09 GBytes  9.41 Gbits/sec    0    939 KBytes       
[  4]  80.00-81.00  sec  1.10 GBytes  9.41 Gbits/sec    0   1.14 MBytes       
[  4]  81.00-82.00  sec  1.10 GBytes  9.41 Gbits/sec    2    817 KBytes       
[  4]  82.00-83.00  sec  1.09 GBytes  9.41 Gbits/sec    0    817 KBytes       
[  4]  83.00-84.00  sec  1.10 GBytes  9.41 Gbits/sec    0   1.03 MBytes       
[  4]  84.00-85.00  sec  1.10 GBytes  9.41 Gbits/sec    0   1.06 MBytes       
[  4]  85.00-86.00  sec  1.09 GBytes  9.41 Gbits/sec    0   1.06 MBytes       
[  4]  86.00-87.00  sec  1.09 GBytes  9.41 Gbits/sec    0   1.18 MBytes       
[  4]  87.00-88.00  sec  1.10 GBytes  9.41 Gbits/sec    0   1.18 MBytes       
[  4]  88.00-89.00  sec   705 MBytes  5.91 Gbits/sec    1   1.41 KBytes       
[  4]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4]  90.00-91.00  sec  1.03 GBytes  8.84 Gbits/sec  820    667 KBytes       
[  4]  91.00-92.00  sec  1.09 GBytes  9.41 Gbits/sec    0    798 KBytes       
[  4]  92.00-93.00  sec  1.10 GBytes  9.42 Gbits/sec    0    798 KBytes       
[  4]  93.00-94.00  sec  1.10 GBytes  9.41 Gbits/sec    0    836 KBytes       
[  4]  94.00-95.00  sec  1.09 GBytes  9.40 Gbits/sec    0    836 KBytes       
[  4]  95.00-96.00  sec  1.09 GBytes  9.40 Gbits/sec    0    844 KBytes       
[  4]  96.00-97.00  sec  1.10 GBytes  9.41 Gbits/sec    0    844 KBytes       
[  4]  97.00-98.00  sec  1.09 GBytes  9.38 Gbits/sec    0    850 KBytes       
[  4]  98.00-99.00  sec   354 MBytes  2.97 Gbits/sec    2   1.41 KBytes       
[  4]  99.00-100.00 sec   286 MBytes  2.40 Gbits/sec  173    748 KBytes       
[  4] 100.00-101.00 sec  1.10 GBytes  9.42 Gbits/sec    0    901 KBytes       
[  4] 101.00-102.00 sec  1.09 GBytes  9.40 Gbits/sec    0   1008 KBytes       
[  4] 102.00-103.00 sec  1.09 GBytes  9.38 Gbits/sec    0   1008 KBytes       
[  4] 103.00-104.00 sec  1.09 GBytes  9.40 Gbits/sec    0   1.07 MBytes       
[  4] 104.00-105.00 sec  1.10 GBytes  9.41 Gbits/sec    0   1.20 MBytes       
[  4] 105.00-106.00 sec   656 MBytes  5.51 Gbits/sec    1   1.41 KBytes       
[  4] 106.00-107.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 107.00-108.00 sec  1.08 GBytes  9.28 Gbits/sec  825    839 KBytes       
[  4] 108.00-109.00 sec  51.2 MBytes   430 Mbits/sec  174   1.41 KBytes       
[  4] 109.00-110.00 sec   580 MBytes  4.87 Gbits/sec  202    636 KBytes       
[  4] 110.00-111.00 sec  1.09 GBytes  9.40 Gbits/sec    0    638 KBytes       
[  4] 111.00-112.00 sec  1.09 GBytes  9.40 Gbits/sec    0    638 KBytes       
[  4] 112.00-113.00 sec  1.09 GBytes  9.41 Gbits/sec    0    638 KBytes       
[  4] 113.00-114.00 sec  1.09 GBytes  9.41 Gbits/sec    2    523 KBytes       
[  4] 114.00-115.00 sec  1.09 GBytes  9.41 Gbits/sec    4    527 KBytes       
[  4] 115.00-116.00 sec  1.09 GBytes  9.41 Gbits/sec    0    615 KBytes       
[  4] 116.00-117.00 sec  1.09 GBytes  9.41 Gbits/sec    0    626 KBytes       
[  4] 117.00-118.00 sec  1.08 GBytes  9.27 Gbits/sec  129    571 KBytes       
